feature,importance,model
param,8361.370897633587,random_forest
system,308.8324462287622,random_forest
color,-177.89551444453195,random_forest
systemfusion,22.61438075419477,lasso
systemFV,3.456723255539185,lasso
systemint,0,lasso
colorgreen,10.25596398325631,lasso
colorred,0,lasso
colorwhite,32.52269570261143,lasso
paramRKU,93.86444439035839,lasso
paramRP,0,lasso
paramRQ,6.103420198314533,lasso
paramRSK,221.9073000235887,lasso
paramRSM,150.2370263354939,lasso
paramRT,28.911273266090326,lasso
paramRV,100.12573799760868,lasso
paramRZ,31.62931531501108,lasso
paramRZ1MAX,8.680150826758204,lasso
systemfusion,22.128732371917735,ridge
systemFV,19.9571491824405,ridge
systemint,5.935961204784379,ridge
colorgreen,21.339197076392843,ridge
colorred,0.43804208971211467,ridge
colorwhite,48.87884258813794,ridge
paramRKU,85.0905049138013,ridge
paramRP,14.740308738003868,ridge
paramRQ,31.156868760270825,ridge
paramRSK,192.3008282597406,ridge
paramRSM,132.466999542086,ridge
paramRT,29.02721348231241,ridge
paramRV,109.08218621257105,ridge
paramRZ,54.243442934319795,ridge
paramRZ1MAX,10.507597059883995,ridge
