feature,importance,model
param,3698.73428497605,random_forest
system,1520.1845628041115,random_forest
color,-404.19481963362716,random_forest
systemfusion,11.470040875102605,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,75.58393411683831,lasso
paramRSM,57.618512405098784,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,12.792619130093195,ridge
systemFV,4.943965965802209,ridge
systemint,5.6123197014174755,ridge
colorgreen,0.4167231735518683,ridge
colorred,6.713032950930773,ridge
colorwhite,4.5920809374769584,ridge
paramRKU,5.284711056406259,ridge
paramRP,4.415406936000499,ridge
paramRQ,4.244865950816269,ridge
paramRSK,34.07684513351369,ridge
paramRSM,29.133329562720423,ridge
paramRT,2.520223792752628,ridge
paramRV,19.087945888068933,ridge
paramRZ,10.431864375872449,ridge
paramRZ1MAX,9.517622882763622,ridge
