feature,importance,model
system,1422.7372155964686,random_forest
param,369.9501462425563,random_forest
color,-2480.372971436185,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.1720600595400209,ridge
systemFV,0.29421334153707057,ridge
systemint,0.045186668545718775,ridge
colorgreen,0.0750220440151657,ridge
colorred,0.052625209699613394,ridge
colorwhite,0.10533829550692086,ridge
paramRKU,0.1420647975459566,ridge
paramRP,0.0032698185243290544,ridge
paramRQ,0.0011878136483418505,ridge
paramRSK,0.3205302936703766,ridge
paramRSM,0.33633825225616837,ridge
paramRT,0.06007615458515203,ridge
paramRV,0.010067850548522751,ridge
paramRZ,0.006389540918568685,ridge
paramRZ1MAX,0.03191505828411782,ridge
