feature,importance,model
param,7681.380488837143,random_forest
system,2673.71875550416,random_forest
color,-1163.655499723604,random_forest
systemfusion,60.80733291747345,lasso
systemFV,0,lasso
systemint,10.626338300906657,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,14.834208789851015,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,222.19662959662327,lasso
paramRSM,118.63954198181692,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,45.05525994806684,ridge
systemFV,29.51652822359173,ridge
systemint,29.814639143395304,ridge
colorgreen,1.4470290877958767,ridge
colorred,7.59829891743636,ridge
colorwhite,17.306200915386853,ridge
paramRKU,23.248980670559877,ridge
paramRP,47.082607437414296,ridge
paramRQ,33.30913568875406,ridge
paramRSK,148.42577488048025,ridge
paramRSM,86.1196569288048,ridge
paramRT,16.083571440122817,ridge
paramRV,27.17506768941049,ridge
paramRZ,33.826543738406045,ridge
paramRZ1MAX,15.746866527761252,ridge
