feature,importance,model
param,1306.1051444918728,random_forest
system,-210.8218453478961,random_forest
color,-250.27845265023302,random_forest
systemfusion,3.3206839967887474,lasso
systemFV,3.738236138396285,lasso
systemint,3.5592038011567078,lasso
colorgreen,1.6697857431095882,lasso
colorred,1.89601616633744,lasso
colorwhite,4.065720410595222,lasso
paramRKU,45.92051538368165,lasso
paramRP,38.58002287528415,lasso
paramRQ,0,lasso
paramRSK,73.75401135222296,lasso
paramRSM,108.76665892581663,lasso
paramRT,11.771772808151944,lasso
paramRV,4.9752554552800765,lasso
paramRZ,7.8674056226866105,lasso
paramRZ1MAX,13.391315669581768,lasso
systemfusion,3.283634079703885,ridge
systemFV,5.219490325755723,ridge
systemint,4.3126425392814935,ridge
colorgreen,3.130378149315508,ridge
colorred,3.505019349082655,ridge
colorwhite,6.919202682211636,ridge
paramRKU,38.268697870164864,ridge
paramRP,43.322284408678875,ridge
paramRQ,6.533222435290846,ridge
paramRSK,63.59059674524126,ridge
paramRSM,96.57208127634998,ridge
paramRT,5.889972442596344,ridge
paramRV,0.22712855868650889,ridge
paramRZ,14.608368372741769,ridge
paramRZ1MAX,7.811089425920156,ridge
