feature,importance,model
param,7290.33245966165,random_forest
system,-1643.2370116460934,random_forest
color,-1713.9800326347113,random_forest
systemfusion,13.263954743923053,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,186.9047918506198,lasso
paramRP,0,lasso
paramRQ,28.971047831851063,lasso
paramRSK,161.00015403968786,lasso
paramRSM,248.6913692868757,lasso
paramRT,0.9266551119430138,lasso
paramRV,17.17913666086422,lasso
paramRZ,1.107663488607042,lasso
paramRZ1MAX,0,lasso
systemfusion,12.174369856653417,ridge
systemFV,18.71968493890217,ridge
systemint,15.253059576181263,ridge
colorgreen,0.7811407469230636,ridge
colorred,10.294229543593666,ridge
colorwhite,8.179559897169073,ridge
paramRKU,168.93082928741416,ridge
paramRP,3.774398885068961,ridge
paramRQ,56.579362328845455,ridge
paramRSK,143.02436398391356,ridge
paramRSM,223.24192991277582,ridge
paramRT,2.0299290693096976,ridge
paramRV,44.13581419321648,ridge
paramRZ,32.28446199745308,ridge
paramRZ1MAX,5.023118251490561,ridge
