feature,importance,model
param,4589.88848882062,random_forest
system,2036.7550080881504,random_forest
color,-552.9880202976789,random_forest
systemfusion,51.11811342413791,lasso
systemFV,15.443548616662566,lasso
systemint,40.24970842581877,lasso
colorgreen,6.987767494537452,lasso
colorred,0.6563320230571701,lasso
colorwhite,9.179495995528626,lasso
paramRKU,120.51803427243361,lasso
paramRP,44.30278074891464,lasso
paramRQ,5.38443759631938,lasso
paramRSK,132.29967197300084,lasso
paramRSM,154.0311313584711,lasso
paramRT,64.44859559475753,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,42.655454959369784,lasso
systemfusion,45.5848284437962,ridge
systemFV,30.941750873105004,ridge
systemint,43.9254555050324,ridge
colorgreen,15.79437484989894,ridge
colorred,7.331766445011932,ridge
colorwhite,30.951126951640287,ridge
paramRKU,99.69571847710625,ridge
paramRP,68.99848284207756,ridge
paramRQ,34.763969858977255,ridge
paramRSK,106.92235701081209,ridge
paramRSM,125.44123941391224,ridge
paramRT,52.88575905475354,ridge
paramRV,10.389925719384257,ridge
paramRZ,30.63190990060529,ridge
paramRZ1MAX,33.84627354222402,ridge
