feature,importance,model
param,1347.0846141819661,random_forest
system,-215.26934992151035,random_forest
color,-278.4538705841795,random_forest
systemfusion,5.969263134386242,lasso
systemFV,5.996337522006426,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,67.23074387466464,lasso
paramRP,16.742154169913654,lasso
paramRQ,0,lasso
paramRSK,54.21833159381381,lasso
paramRSM,118.25962551974528,lasso
paramRT,0,lasso
paramRV,7.233121584664497,lasso
paramRZ,14.590322218731083,lasso
paramRZ1MAX,0,lasso
systemfusion,7.727202654679091,ridge
systemFV,10.022993691853392,ridge
systemint,2.488489942646014,ridge
colorgreen,0.706053998693903,ridge
colorred,2.1595374543606716,ridge
colorwhite,1.8777491792860963,ridge
paramRKU,56.69675317640323,ridge
paramRP,28.72834064572181,ridge
paramRQ,10.652255516201832,ridge
paramRSK,44.84785658634213,ridge
paramRSM,101.38504586987413,ridge
paramRT,4.813034067133035,ridge
paramRV,20.87247161958282,ridge
paramRZ,26.137479652642554,ridge
paramRZ1MAX,4.3598008373807655,ridge
