feature,importance,model
system,2279.4333041084196,random_forest
param,1626.0984645163016,random_forest
color,-3846.4803078240398,random_forest
systemfusion,0,lasso
systemFV,0,lasso
systemint,0,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,0,lasso
paramRKU,0,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,0,lasso
paramRSM,0,lasso
paramRT,0,lasso
paramRV,0,lasso
paramRZ,0,lasso
paramRZ1MAX,0,lasso
systemfusion,0.04303188010698225,ridge
systemFV,0.25831822619579325,ridge
systemint,0.07009376492772605,ridge
colorgreen,0.08762428231636127,ridge
colorred,0.06624336639004269,ridge
colorwhite,0.003663285011121815,ridge
paramRKU,0.007967538149292979,ridge
paramRP,0.11470570089460892,ridge
paramRQ,0.15627663191819144,ridge
paramRSK,0.589379385364694,ridge
paramRSM,0.23293158164745636,ridge
paramRT,0.04730550315317887,ridge
paramRV,0.15629017689918956,ridge
paramRZ,0.13546592310006741,ridge
paramRZ1MAX,0.0710901840163745,ridge
