feature,importance,model
param,4209.244877773655,random_forest
system,-296.5573642551611,random_forest
color,-883.7333424775765,random_forest
systemfusion,24.839785354245578,lasso
systemFV,6.418348865848014,lasso
systemint,7.02230347180672,lasso
colorgreen,0,lasso
colorred,0,lasso
colorwhite,2.150993005961198,lasso
paramRKU,102.9545637424462,lasso
paramRP,0,lasso
paramRQ,0,lasso
paramRSK,61.304999585205,lasso
paramRSM,173.61929077138836,lasso
paramRT,30.55838980497545,lasso
paramRV,80.28342525906606,lasso
paramRZ,32.06791379787378,lasso
paramRZ1MAX,15.847921203192692,lasso
systemfusion,21.590337093819354,ridge
systemFV,19.67336381169653,ridge
systemint,15.270524809195726,ridge
colorgreen,0.8885549088006592,ridge
colorred,5.304365851218275,ridge
colorwhite,19.105457887623224,ridge
paramRKU,87.65470733008583,ridge
paramRP,12.307024381352678,ridge
paramRQ,10.05717099163951,ridge
paramRSK,68.36656253465247,ridge
paramRSM,142.669273004984,ridge
paramRT,30.324279927787554,ridge
paramRV,81.87609596247928,ridge
paramRZ,47.066299261156026,ridge
paramRZ1MAX,17.864153672757844,ridge
