feature,importance,model
param,6048.4689271500965,random_forest
system,1228.0571104428036,random_forest
color,-658.7673314163784,random_forest
systemfusion,21.702528018380455,lasso
systemFV,7.853670772605775,lasso
systemint,46.57352145968872,lasso
colorgreen,0,lasso
colorred,10.65284223046604,lasso
colorwhite,0,lasso
paramRKU,68.11863183991326,lasso
paramRP,0,lasso
paramRQ,31.259892220523056,lasso
paramRSK,173.8879061596388,lasso
paramRSM,147.48642885813854,lasso
paramRT,10.161384273446409,lasso
paramRV,71.35824019820164,lasso
paramRZ,18.499307078424682,lasso
paramRZ1MAX,1.882727175445746,lasso
systemfusion,28.757804966895733,ridge
systemFV,17.850954539263547,ridge
systemint,37.84489313525248,ridge
colorgreen,2.0825530170485345,ridge
colorred,18.049066284484116,ridge
colorwhite,4.446782060018317,ridge
paramRKU,57.234491305362866,ridge
paramRP,4.2398459495140015,ridge
paramRQ,42.582466277948555,ridge
paramRSK,142.47784081382645,ridge
paramRSM,121.02431996232842,ridge
paramRT,10.131271740611783,ridge
paramRV,77.26246819263136,ridge
paramRZ,32.47365967732962,ridge
paramRZ1MAX,4.366492928069026,ridge
