"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_conf_blue_5x5.mnt",0.5321175736,0.45038827482286,0.08172929877714,1.18146409075433,18.1464090754326,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.08172929877714,18.1464090754326,"conf","blue","conf_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_conf_green_5x5.mnt",0.6149625032,0.45038827482286,0.16457422837714,1.36540522384129,36.5405223841291,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.16457422837714,36.5405223841291,"conf","green","conf_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_conf_red_5x5.mnt",0.6911294363,0.45038827482286,0.24074116147714,1.53451915810158,53.4519158101584,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.24074116147714,53.4519158101584,"conf","red","conf_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_fusion_blue_5x5.mnt",0.7173609671,0.45038827482286,0.26697269227714,1.59276119561981,59.2761195619805,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.26697269227714,59.2761195619805,"fusion","blue","fusion_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_fusion_green_5x5.mnt",0.7691499585,0.45038827482286,0.31876168367714,1.70774862823085,70.7748628230854,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.31876168367714,70.7748628230854,"fusion","green","fusion_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_fusion_red_5x5.mnt",0.8508297169,0.45038827482286,0.40044144207714,1.88910272416536,88.9102724165356,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.40044144207714,88.9102724165356,"fusion","red","fusion_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_FV_blue_5x5.mnt",0.4779833252,0.45038827482286,0.0275950503771399,1.0612694688555,6.12694688554963,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.0275950503771399,6.12694688554963,"FV","blue","FV_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_FV_green_5x5.mnt",0.3734280133,0.45038827482286,-0.0769602615228601,0.829124633510655,-17.0875366489345,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.0769602615228601,17.0875366489345,"FV","green","FV_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_FV_red_5x5.mnt",0.446823226,0.45038827482286,-0.00356504882286002,0.992084499037498,-0.791550096250212,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.00356504882286002,0.791550096250212,"FV","red","FV_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_blue_5x5.mnt",0.325004192,0.45038827482286,-0.12538408282286,0.721608909840794,-27.8391090159206,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.12538408282286,27.8391090159206,"int","blue","int_blue"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_green_5x5.mnt",0.2703501702,0.45038827482286,-0.18003810462286,0.600260231699704,-39.9739768300296,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.18003810462286,39.9739768300296,"int","green","int_green"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_red_5x5.mnt",0.3085992505,0.45038827482286,-0.14178902432286,0.685184912110276,-31.4815087889724,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.14178902432286,31.4815087889724,"int","red","int_red"
"P3_1_4301\AU_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GLA_x10_int_white_5x5.mnt",0.2658583752,0.45038827482286,-0.18452989962286,0.590287070205288,-40.9712929794712,"14301_GLA.xlsx","14301_GLA.xlsx",20,0.0156458395726426,0.00349851608494851,0.18452989962286,40.9712929794712,"int","white","int_white"
