"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_conf_blue_5x5.mnt",0.3068485334,0.170327422281213,0.136521111118787,1.80152161813022,80.1521618130216,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.136521111118787,80.1521618130216,"conf","blue","conf_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_conf_green_5x5.mnt",0.3323220749,0.170327422281213,0.161994652618787,1.95107793242671,95.1077932426705,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.161994652618787,95.1077932426705,"conf","green","conf_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_conf_red_5x5.mnt",0.3799282635,0.170327422281213,0.209600841218787,2.23057601889103,123.057601889103,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.209600841218787,123.057601889103,"conf","red","conf_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_fusion_blue_5x5.mnt",0.3379222177,0.170327422281213,0.167594795418787,1.98395662409594,98.3956624095943,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.167594795418787,98.3956624095943,"fusion","blue","fusion_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_fusion_green_5x5.mnt",0.3960826177,0.170327422281213,0.225755195418787,2.32541896304907,132.541896304907,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.225755195418787,132.541896304907,"fusion","green","fusion_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_fusion_red_5x5.mnt",0.4488341817,0.170327422281213,0.278506759418787,2.63512578120843,163.512578120843,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.278506759418787,163.512578120843,"fusion","red","fusion_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_FV_blue_5x5.mnt",0.3830534904,0.170327422281213,0.212726068118787,2.2489243673727,124.89243673727,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.212726068118787,124.89243673727,"FV","blue","FV_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_FV_green_5x5.mnt",0.2640172675,0.170327422281213,0.0936898452187867,1.55005731880392,55.0057318803917,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.0936898452187867,55.0057318803917,"FV","green","FV_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_FV_red_5x5.mnt",0.2835795611,0.170327422281213,0.113252138818787,1.66490842931801,66.4908429318008,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.113252138818787,66.4908429318008,"FV","red","FV_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_blue_5x5.mnt",0.4553932925,0.170327422281213,0.285065870218787,2.6736346173791,167.36346173791,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.285065870218787,167.36346173791,"int","blue","int_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_green_5x5.mnt",0.2377193225,0.170327422281213,0.0673919002187867,1.39566089427175,39.5660894271749,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.0673919002187867,39.5660894271749,"int","green","int_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_red_5x5.mnt",0.3076193577,0.170327422281213,0.137291935418787,1.80604716245935,80.6047162459345,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.137291935418787,80.6047162459345,"int","red","int_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_white_5x5.mnt",0.2366495468,0.170327422281213,0.0663221245187867,1.38938019275186,38.9380192751862,"14301_MF.xlsx","14301_MF.xlsx",20,0.0101978425655433,0.00228030692003957,0.0663221245187867,38.9380192751862,"int","white","int_white"
