"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_conf_blue_5x5.mnt",3.710934558,3.60285464314556,0.10807991485444,1.0299984111377,2.99984111376968,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.10807991485444,2.99984111376968,"conf","blue","conf_blue"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_conf_green_5x5.mnt",3.719609906,3.60285464314556,0.11675526285444,1.03240632065925,3.24063206592493,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.11675526285444,3.24063206592493,"conf","green","conf_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_conf_red_5x5.mnt",3.809800149,3.60285464314556,0.20694550585444,1.05743931586254,5.74393158625355,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.20694550585444,5.74393158625355,"conf","red","conf_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_fusion_blue_5x5.mnt",3.961634382,3.60285464314556,0.35877973885444,1.0995820743246,9.9582074324597,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.35877973885444,9.9582074324597,"fusion","blue","fusion_blue"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_fusion_green_5x5.mnt",3.820798016,3.60285464314556,0.21794337285444,1.06049185838487,6.04918583848721,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.21794337285444,6.04918583848721,"fusion","green","fusion_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_fusion_red_5x5.mnt",3.94426951,3.60285464314556,0.34141486685444,1.09476232062373,9.47623206237262,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.34141486685444,9.47623206237262,"fusion","red","fusion_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_FV_blue_5x5.mnt",3.86024631,3.60285464314556,0.25739166685444,1.07144103560884,7.14410356088411,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.25739166685444,7.14410356088411,"FV","blue","FV_blue"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_FV_green_5x5.mnt",3.651769386,3.60285464314556,0.0489147428544401,1.01357666286857,1.35766628685674,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.0489147428544401,1.35766628685674,"FV","green","FV_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_FV_red_5x5.mnt",3.595310059,3.60285464314556,-0.0075445841455597,0.997905942678006,-0.209405732199418,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.0075445841455597,0.209405732199418,"FV","red","FV_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_int_green_5x5.mnt",4.000539426,3.60285464314556,0.39768478285444,1.11038046833531,11.0380468335306,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.39768478285444,11.0380468335306,"int","green","int_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_int_red_5x5.mnt",3.853599027,3.60285464314556,0.25074438385444,1.06959603111701,6.9596031117015,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.25074438385444,6.9596031117015,"int","red","int_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_int_white_5x5.mnt",3.975235864,3.60285464314556,0.37238122085444,1.1033572702032,10.3357270203197,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,0.37238122085444,10.3357270203197,"int","white","int_white"
NA,NA,3.60285464314556,NA,NA,NA,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.130503215641451,0.0291814061456597,NA,NA,"other","unknown","other_unknown"
