"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_blue_5x5.mnt",1.10949204,1.03433447867928,0.0751575613207243,1.07266272455376,7.26627245537553,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.0751575613207243,7.26627245537553,"conf","blue","conf_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_green_5x5.mnt",1.362842192,1.03433447867928,0.328507713320724,1.31760298055634,31.7602980556338,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.328507713320724,31.7602980556338,"conf","green","conf_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_red_5x5.mnt",1.546744912,1.03433447867928,0.512410433320724,1.4954010949872,49.5401094987197,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.512410433320724,49.5401094987197,"conf","red","conf_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_blue_5x5.mnt",1.394857338,1.03433447867928,0.360522859320724,1.34855539165732,34.855539165732,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.360522859320724,34.855539165732,"fusion","blue","fusion_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_green_5x5.mnt",1.5634179,1.03433447867928,0.529083421320724,1.51152062725039,51.1520627250386,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.529083421320724,51.1520627250386,"fusion","green","fusion_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_red_5x5.mnt",1.745966062,1.03433447867928,0.711631583320724,1.68800914790097,68.8009147900972,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.711631583320724,68.8009147900972,"fusion","red","fusion_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_blue_5x5.mnt",0.8706326995,1.03433447867928,-0.163701779179276,0.841732261126687,-15.8267738873313,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.163701779179276,15.8267738873313,"FV","blue","FV_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_green_5x5.mnt",0.8542558864,1.03433447867928,-0.180078592279276,0.825899072310521,-17.4100927689479,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.180078592279276,17.4100927689479,"FV","green","FV_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_red_5x5.mnt",1.065009614,1.03433447867928,0.0306751353207244,1.0296568817467,2.96568817466986,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.0306751353207244,2.96568817466986,"FV","red","FV_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_blue_5x5.mnt",0.9177802776,1.03433447867928,-0.116554201079276,0.887314786965139,-11.2685213034861,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.116554201079276,11.2685213034861,"int","blue","int_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_green_5x5.mnt",0.9505988699,1.03433447867928,-0.0837356087792757,0.919043974163758,-8.09560258362423,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.0837356087792757,8.09560258362423,"int","green","int_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_red_5x5.mnt",0.9230375108,1.03433447867928,-0.111296967879276,0.892397507601807,-10.7602492398193,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.111296967879276,10.7602492398193,"int","red","int_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_white_5x5.mnt",0.9508842239,1.03433447867928,-0.0834502547792756,0.919319855907896,-8.06801440921043,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.021846513815706,0.0048850289963307,0.0834502547792756,8.06801440921043,"int","white","int_white"
