"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_conf_blue_5x5.mnt",0.3958837107,0.339478592123795,0.0564051185762046,1.16615221072802,16.615221072802,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.0564051185762046,16.615221072802,"conf","blue","conf_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_conf_green_5x5.mnt",0.4462743856,0.339478592123795,0.106795793476205,1.31458771172605,31.4587711726046,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.106795793476205,31.4587711726046,"conf","green","conf_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_conf_red_5x5.mnt",0.5003783911,0.339478592123795,0.160899798976205,1.47396154782429,47.3961547824289,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.160899798976205,47.3961547824289,"conf","red","conf_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_fusion_blue_5x5.mnt",0.4637779413,0.339478592123795,0.124299349176205,1.36614782805178,36.6147828051782,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.124299349176205,36.6147828051782,"fusion","blue","fusion_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_fusion_green_5x5.mnt",0.5246923969,0.339478592123795,0.185213804776205,1.54558316510475,54.5583165104749,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.185213804776205,54.5583165104749,"fusion","green","fusion_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_fusion_red_5x5.mnt",0.5794771725,0.339478592123795,0.239998580376205,1.70696234149777,70.6962341497769,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.239998580376205,70.6962341497769,"fusion","red","fusion_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_FV_blue_5x5.mnt",0.6361418398,0.339478592123795,0.296663247676205,1.87387910330447,87.3879103304465,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.296663247676205,87.3879103304465,"FV","blue","FV_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_FV_green_5x5.mnt",0.483965073,0.339478592123795,0.144486480876205,1.42561293768862,42.5612937688618,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.144486480876205,42.5612937688618,"FV","green","FV_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_FV_red_5x5.mnt",0.5618488033,0.339478592123795,0.222370211176205,1.65503456281306,65.5034562813063,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.222370211176205,65.5034562813063,"FV","red","FV_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_blue_5x5.mnt",0.3168230175,0.339478592123795,-0.0226555746237954,0.933263613230923,-6.67363867690772,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.0226555746237954,6.67363867690772,"int","blue","int_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_green_5x5.mnt",0.2798587404,0.339478592123795,-0.0596198517237955,0.824378169619443,-17.5621830380557,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.0596198517237955,17.5621830380557,"int","green","int_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_red_5x5.mnt",0.3307244922,0.339478592123795,-0.00875409992379544,0.974213101718641,-2.57868982813595,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.00875409992379544,2.57868982813595,"int","red","int_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_white_5x5.mnt",0.2752335589,0.339478592123795,-0.0642450332237954,0.810753800933734,-18.9246199066266,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,0.00948927264283909,0.00212186586864173,0.0642450332237954,18.9246199066266,"int","white","int_white"
