"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_conf_green_5x5.mnt",0.4864467779,0.555076129703373,-0.0686293518033735,0.876360469977248,-12.3639530022752,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.0686293518033735,12.3639530022752,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_conf_red_5x5.mnt",0.5480547699,0.555076129703373,-0.00702135980337348,0.987350636376445,-1.26493636235549,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.00702135980337348,1.26493636235549,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_blue_5x5.mnt",0.4678104687,0.555076129703373,-0.0872656610033735,0.842786139893987,-15.7213860106013,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.0872656610033735,15.7213860106013,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_green_5x5.mnt",0.5482289255,0.555076129703373,-0.00684720420337348,0.987664387212917,-1.2335612787083,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.00684720420337348,1.2335612787083,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_red_5x5.mnt",0.616468804,0.555076129703373,0.0613926742966265,1.1106022597827,11.0602259782697,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.0613926742966265,11.0602259782697,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_blue_5x5.mnt",0.431994863,0.555076129703373,-0.123081266703373,0.778262367778008,-22.1737632221992,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.123081266703373,22.1737632221992,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_green_5x5.mnt",0.3744636059,0.555076129703373,-0.180612523803374,0.674616662222728,-32.5383337777272,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.180612523803374,32.5383337777272,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_red_5x5.mnt",0.4270564358,0.555076129703373,-0.128019693903373,0.769365521137099,-23.0634478862901,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.128019693903373,23.0634478862901,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_blue_5x5.mnt",0.4102734962,0.555076129703373,-0.144802633503374,0.739130137733081,-26.0869862266919,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.144802633503374,26.0869862266919,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_green_5x5.mnt",0.4032881526,0.555076129703373,-0.151787977103373,0.72654565926932,-27.345434073068,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.151787977103373,27.345434073068,"int","green","int_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_red_5x5.mnt",0.4210606394,0.555076129703373,-0.134015490303374,0.758563766063963,-24.1436233936037,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.134015490303374,24.1436233936037,"int","red","int_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_white_5x5.mnt",0.386891179,0.555076129703373,-0.168184950703374,0.697005614719463,-30.2994385280537,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,0.168184950703374,30.2994385280537,"int","white","int_white"
NA,NA,0.555076129703373,NA,NA,NA,"C45_MF.xlsx","C45_MF.xlsx",20,0.0225151853499568,0.00503454849685109,NA,NA,"other","unknown","other_unknown"
