"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.745326202702271,1.69812876461958,1.76886435823622,2.26078926913957,4.08999218094413,2.91763715670819,5.04515228286545,5.46286935443979,45.4949592101246,0.917559204555078,0.103128626217762,1.97185667194313
"conf_green",0.745326202702271,0,0.952802561917309,1.02353815553395,1.5154630664373,3.34466597824186,3.66296335941046,5.79047848556772,6.20819555714206,46.2402854128269,0.172233001852806,0.848454828920033,1.22653046924086
"conf_red",1.69812876461958,0.952802561917309,0,0.0707355936166394,0.56266050451999,2.39186341632455,4.61576592132777,6.74328104748503,7.16099811905937,47.1930879747442,0.780569560064503,1.80125739083734,0.273727907323552
"fusion_blue",1.76886435823622,1.02353815553395,0.0707355936166394,0,0.49192491090335,2.32112782270791,4.68650151494441,6.81401664110167,7.23173371267601,47.2638235683609,0.851305153681142,1.87199298445398,0.202992313706913
"fusion_green",2.26078926913957,1.5154630664373,0.56266050451999,0.49192491090335,0,1.82920291180456,5.17842642584776,7.30594155200502,7.72365862357936,47.7557484792642,1.34323006458449,2.36391789535733,0.288932597196437
"fusion_red",4.08999218094413,3.34466597824186,2.39186341632455,2.32112782270791,1.82920291180456,0,7.00762933765231,9.13514446380958,9.55286153538392,49.5849513910688,3.17243297638905,4.19312080716189,2.11813550900099
"FV_blue",2.91763715670819,3.66296335941046,4.61576592132777,4.68650151494441,5.17842642584776,7.00762933765231,0,2.12751512615727,2.54523219773161,42.5773220534165,3.83519636126326,2.81450853049042,4.88949382865132
"FV_green",5.04515228286545,5.79047848556772,6.74328104748503,6.81401664110167,7.30594155200502,9.13514446380958,2.12751512615727,0,0.417717071574341,40.4498069272592,5.96271148742053,4.94202365664769,7.01700895480858
"FV_red",5.46286935443979,6.20819555714206,7.16099811905937,7.23173371267601,7.72365862357936,9.55286153538392,2.54523219773161,0.417717071574341,0,40.0320898556849,6.38042855899487,5.35974072822203,7.43472602638293
"int_blue",45.4949592101246,46.2402854128269,47.1930879747442,47.2638235683609,47.7557484792642,49.5849513910688,42.5773220534165,40.4498069272592,40.0320898556849,0,46.4125184146797,45.3918305839069,47.4668158820678
"int_green",0.917559204555078,0.172233001852806,0.780569560064503,0.851305153681142,1.34323006458449,3.17243297638905,3.83519636126326,5.96271148742053,6.38042855899487,46.4125184146797,0,1.02068783077284,1.05429746738806
"int_red",0.103128626217762,0.848454828920033,1.80125739083734,1.87199298445398,2.36391789535733,4.19312080716189,2.81450853049042,4.94202365664769,5.35974072822203,45.3918305839069,1.02068783077284,0,2.07498529816089
"int_white",1.97185667194313,1.22653046924086,0.273727907323552,0.202992313706913,0.288932597196437,2.11813550900099,4.88949382865132,7.01700895480858,7.43472602638293,47.4668158820678,1.05429746738806,2.07498529816089,0
