"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_conf_blue_5x5.mnt",1.130808514,0.902980927011497,0.227827586988503,1.25230608994425,25.2306089944248,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.227827586988503,25.2306089944248,"conf","blue","conf_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_conf_green_5x5.mnt",1.486278572,0.902980927011497,0.583297644988503,1.64596895409406,64.5968954094062,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.583297644988503,64.5968954094062,"conf","green","conf_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_conf_red_5x5.mnt",1.669042525,0.902980927011497,0.766061597988503,1.84836963336962,84.836963336962,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.766061597988503,84.836963336962,"conf","red","conf_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_fusion_blue_5x5.mnt",1.433976109,0.902980927011497,0.530995181988503,1.58804695216086,58.8046952160865,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.530995181988503,58.8046952160865,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_fusion_green_5x5.mnt",1.663630249,0.902980927011497,0.760649321988503,1.84237584564045,84.2375845640445,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.760649321988503,84.2375845640445,"fusion","green","fusion_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_fusion_red_5x5.mnt",1.885156171,0.902980927011497,0.982175243988503,2.08770320015408,108.770320015408,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.982175243988503,108.770320015408,"fusion","red","fusion_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_FV_blue_5x5.mnt",1.013136928,0.902980927011497,0.110156000988503,1.12199150357813,12.1991503578126,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.110156000988503,12.1991503578126,"FV","blue","FV_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_FV_green_5x5.mnt",1.01498166,0.902980927011497,0.112000732988503,1.1240344393089,12.4034439308901,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.112000732988503,12.4034439308901,"FV","green","FV_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_FV_red_5x5.mnt",1.190043239,0.902980927011497,0.287062311988503,1.31790517761938,31.7905177619381,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.287062311988503,31.7905177619381,"FV","red","FV_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_blue_5x5.mnt",0.9341592739,0.902980927011497,0.031178346888503,1.03452824523292,3.45282452329206,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.031178346888503,3.45282452329206,"int","blue","int_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_green_5x5.mnt",1.031586708,0.902980927011497,0.128605780988503,1.14242358519591,14.2423585195909,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.128605780988503,14.2423585195909,"int","green","int_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_red_5x5.mnt",1.018655961,0.902980927011497,0.115675033988503,1.12810351861068,12.8103518610676,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.115675033988503,12.8103518610676,"int","red","int_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_white_5x5.mnt",1.025501201,0.902980927011497,0.122520273988503,1.13568423243888,13.568423243888,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.017695989361287,0.00395694351409509,0.122520273988503,13.568423243888,"int","white","int_white"
