"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_conf_blue_5x5.mnt",0.8450330799,2.02363792279225,-1.17860484289225,0.417581164289512,-58.2418835710488,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.17860484289225,58.2418835710488,"conf","blue","conf_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_conf_green_5x5.mnt",0.8748772894,2.02363792279225,-1.14876063339225,0.432328965348123,-56.7671034651877,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.14876063339225,56.7671034651877,"conf","green","conf_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_conf_red_5x5.mnt",0.9326968858,2.02363792279225,-1.09094103699225,0.460901070935183,-53.9098929064817,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.09094103699225,53.9098929064817,"conf","red","conf_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_fusion_blue_5x5.mnt",1.002092026,2.02363792279225,-1.02154589679225,0.495193342007198,-50.4806657992802,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.02154589679225,50.4806657992802,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_fusion_green_5x5.mnt",0.9670952025,2.02363792279225,-1.05654272029225,0.477899327546493,-52.2100672453507,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.05654272029225,52.2100672453507,"fusion","green","fusion_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_fusion_red_5x5.mnt",1.036035974,2.02363792279225,-0.987601948792254,0.511967067987369,-48.8032932012631,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,0.987601948792254,48.8032932012631,"fusion","red","fusion_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_FV_blue_5x5.mnt",0.9270535566,2.02363792279225,-1.09658436619225,0.458112365931962,-54.1887634068038,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.09658436619225,54.1887634068038,"FV","blue","FV_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_FV_green_5x5.mnt",0.7979117164,2.02363792279225,-1.22572620639225,0.394295692630145,-60.5704307369855,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.22572620639225,60.5704307369855,"FV","green","FV_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_FV_red_5x5.mnt",0.8402652053,2.02363792279225,-1.18337271749225,0.415225073535184,-58.4774926464816,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.18337271749225,58.4774926464816,"FV","red","FV_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_blue_5x5.mnt",0.9231345307,2.02363792279225,-1.10050339209225,0.456175741867024,-54.3824258132976,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.10050339209225,54.3824258132976,"int","blue","int_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_green_5x5.mnt",0.8625226395,2.02363792279225,-1.16111528329225,0.426223797145427,-57.3776202854573,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.16111528329225,57.3776202854573,"int","green","int_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_red_5x5.mnt",0.8629801347,2.02363792279225,-1.16065778809225,0.426449872766391,-57.3550127233609,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.16065778809225,57.3550127233609,"int","red","int_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_white_5x5.mnt",0.8660285387,2.02363792279225,-1.15760938409225,0.42795627070728,-57.204372929272,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.0228789031123598,0.00511587826098681,1.15760938409225,57.204372929272,"int","white","int_white"
