"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,24.9496131529606,52.3191792274694,48.8055685257984,67.2925146037531,101.064860741729,32.3850992718665,44.4110773380819,12.9237760266901,45.0335958258536,32.5601608258789,43.5332145481849,31.8560267342521
"conf_green",24.9496131529606,0,27.3695660745088,23.8559553728378,42.3429014507925,76.1152475887683,57.3347124248271,69.3606904910425,37.8733891796507,69.9832089788142,57.5097739788395,68.4828277011455,56.8056398872128
"conf_red",52.3191792274694,27.3695660745088,0,3.51361070167094,14.9733353762838,48.7456815142596,84.7042784993359,96.7302565655512,65.2429552541594,97.352775053323,84.8793400533482,95.8523937756542,84.1752059617215
"fusion_blue",48.8055685257984,23.8559553728378,3.51361070167094,0,18.4869460779547,52.2592922159305,81.190667797665,93.2166458638803,61.7293445524885,93.8391643516521,81.3657293516773,92.3387830739833,80.6615952600506
"fusion_green",67.2925146037531,42.3429014507925,14.9733353762838,18.4869460779547,0,33.7723461379758,99.6776138756197,111.703591941835,80.2162906304432,112.326110429607,99.852675429632,110.825729151938,99.1485413380053
"fusion_red",101.064860741729,76.1152475887683,48.7456815142596,52.2592922159305,33.7723461379758,0,133.449960013595,145.475938079811,113.988636768419,146.098456567583,133.625021567608,144.598075289914,132.920887475981
"FV_blue",32.3850992718665,57.3347124248271,84.7042784993359,81.190667797665,99.6776138756197,133.449960013595,0,12.0259780662153,19.4613232451765,12.6484965539871,0.175061554012345,11.1481152763183,0.529072537614386
"FV_green",44.4110773380819,69.3606904910425,96.7302565655512,93.2166458638803,111.703591941835,145.475938079811,12.0259780662153,0,31.4873013113918,0.622518487771769,11.850916512203,0.87786278989698,12.5550506038297
"FV_red",12.9237760266901,37.8733891796507,65.2429552541594,61.7293445524885,80.2162906304432,113.988636768419,19.4613232451765,31.4873013113918,0,32.1098197991636,19.6363847991888,30.6094385214948,18.9322507075621
"int_blue",45.0335958258536,69.9832089788142,97.352775053323,93.8391643516521,112.326110429607,146.098456567583,12.6484965539871,0.622518487771769,32.1098197991636,0,12.4734349999748,1.50038127766875,13.1775690916015
"int_green",32.5601608258789,57.5097739788395,84.8793400533482,81.3657293516773,99.852675429632,133.625021567608,0.175061554012345,11.850916512203,19.6363847991888,12.4734349999748,0,10.973053722306,0.704134091626731
"int_red",43.5332145481849,68.4828277011455,95.8523937756542,92.3387830739833,110.825729151938,144.598075289914,11.1481152763183,0.87786278989698,30.6094385214948,1.50038127766875,10.973053722306,0,11.6771878139327
"int_white",31.8560267342521,56.8056398872128,84.1752059617215,80.6615952600506,99.1485413380053,132.920887475981,0.529072537614386,12.5550506038297,18.9322507075621,13.1775690916015,0.704134091626731,11.6771878139327,0
