"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,20.8384205646665,39.5707029088786,16.7609290272398,41.1695054601774,64.1910747171511,39.9786580432526,9.14467834356793,3.63694682521393,13.9578336111588,17.4436194088804,15.2735220767614,21.0157696552373
"conf_green",20.8384205646665,0,18.732282344212,4.07749153742678,20.3310848955108,43.3526541524845,19.1402374785861,29.9830989082345,24.4753673898805,34.7962541758254,38.2820399735469,36.111942641428,41.8541902199038
"conf_red",39.5707029088786,18.732282344212,0,22.8097738816388,1.59880255129883,24.6203718082725,0.407955134374063,48.7153812524465,43.2076497340925,53.5285365200374,57.0143223177589,54.84422498564,60.5864725641159
"fusion_blue",16.7609290272398,4.07749153742678,22.8097738816388,0,24.4085764329376,47.4301456899113,23.2177290160129,25.9056073708077,20.3978758524537,30.7187626383986,34.2045484361201,32.0344511040012,37.7766986824771
"fusion_green",41.1695054601774,20.3310848955108,1.59880255129883,24.4085764329376,0,23.0215692569737,1.19084741692477,50.3141838037453,44.8064522853913,55.1273390713362,58.6131248690578,56.4430275369388,62.1852751154147
"fusion_red",64.1910747171511,43.3526541524845,24.6203718082725,47.4301456899113,23.0215692569737,0,24.2124166738985,73.335753060719,67.828021542365,78.1489083283099,81.6346941260314,79.4645967939125,85.2068443723884
"FV_blue",39.9786580432526,19.1402374785861,0.407955134374063,23.2177290160129,1.19084741692477,24.2124166738985,0,49.1233363868206,43.6156048684665,53.9364916544114,57.422277452133,55.252180120014,60.9944276984899
"FV_green",9.14467834356793,29.9830989082345,48.7153812524465,25.9056073708077,50.3141838037453,73.335753060719,49.1233363868206,0,5.50773151835401,4.81315526759089,8.29894106531243,6.12884373319348,11.8710913116694
"FV_red",3.63694682521393,24.4753673898805,43.2076497340925,20.3978758524537,44.8064522853913,67.828021542365,43.6156048684665,5.50773151835401,0,10.3208867859449,13.8066725836664,11.6365752515475,17.3788228300234
"int_blue",13.9578336111588,34.7962541758254,53.5285365200374,30.7187626383986,55.1273390713362,78.1489083283099,53.9364916544114,4.81315526759089,10.3208867859449,0,3.48578579772155,1.31568846560259,7.05793604407847
"int_green",17.4436194088804,38.2820399735469,57.0143223177589,34.2045484361201,58.6131248690578,81.6346941260314,57.422277452133,8.29894106531243,13.8066725836664,3.48578579772155,0,2.17009733211896,3.57215024635693
"int_red",15.2735220767614,36.111942641428,54.84422498564,32.0344511040012,56.4430275369388,79.4645967939125,55.252180120014,6.12884373319348,11.6365752515475,1.31568846560259,2.17009733211896,0,5.74224757847588
"int_white",21.0157696552373,41.8541902199038,60.5864725641159,37.7766986824771,62.1852751154147,85.2068443723884,60.9944276984899,11.8710913116694,17.3788228300234,7.05793604407847,3.57215024635693,5.74224757847588,0
