"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_blue_5x5.mnt",0.721268398,0.356564700675334,0.364703697324666,2.02282614244741,102.282614244741,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.364703697324666,102.282614244741,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_green_5x5.mnt",0.8294796431,0.356564700675334,0.472914942424666,2.32630891821026,132.630891821026,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.472914942424666,132.630891821026,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_red_5x5.mnt",0.9139109708,0.356564700675334,0.557346270124666,2.56309996213605,156.309996213605,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.557346270124666,156.309996213605,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_blue_5x5.mnt",0.9766168174,0.356564700675334,0.620052116724666,2.73896102320361,173.896102320361,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.620052116724666,173.896102320361,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_green_5x5.mnt",1.099989484,0.356564700675334,0.743424783324666,3.08496461348142,208.496461348142,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.743424783324666,208.496461348142,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_red_5x5.mnt",1.209156581,0.356564700675334,0.852591880324666,3.39112811422403,239.112811422403,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.852591880324666,239.112811422403,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_blue_5x5.mnt",0.6523357342,0.356564700675334,0.295771033524666,1.82950172286958,82.9501722869581,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.295771033524666,82.9501722869581,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_green_5x5.mnt",0.5681684299,0.356564700675334,0.211603729224666,1.59345114315547,59.3451143155473,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.211603729224666,59.3451143155473,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_red_5x5.mnt",0.7413105545,0.356564700675334,0.384745853824666,2.07903517396971,107.903517396971,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.384745853824666,107.903517396971,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_int_blue_5x5.mnt",0.3861287413,0.356564700675334,0.0295640406246661,1.08291353734307,8.29135373430735,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.00464772163244691,0.00103926215106476,0.0295640406246661,8.29135373430735,"int","blue","int_blue"
