"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,30.348277576285,54.0273819688642,71.6134880756199,106.213847103401,136.830197177662,19.3324419577825,42.9374999291933,5.62090315223021,93.9912605104333,80.4284943535272,84.862014657152,78.966447804857
"conf_green",30.348277576285,0,23.6791043925793,41.2652104993349,75.8655695271165,106.481919601377,49.6807195340675,73.2857775054783,24.7273744240547,124.339538086718,110.776771929812,115.210292233437,109.314725381142
"conf_red",54.0273819688642,23.6791043925793,0,17.5861061067557,52.1864651345372,82.8028152087979,73.3598239266468,96.9648818980576,48.406478816634,148.018642479298,134.455876322391,138.889396626016,132.993829773721
"fusion_blue",71.6134880756199,41.2652104993349,17.5861061067557,0,34.6003590277815,65.2167091020422,90.9459300334024,114.550988004813,65.9925849233897,165.604748586053,152.041982429147,156.475502732772,150.579935880477
"fusion_green",106.213847103401,75.8655695271165,52.1864651345372,34.6003590277815,0,30.6163500742607,125.546289061184,149.151347032595,100.592943951171,200.205107613835,186.642341456929,191.075861760553,185.180294908258
"fusion_red",136.830197177662,106.481919601377,82.8028152087979,65.2167091020422,30.6163500742607,0,156.162639135445,179.767697106855,131.209294025432,230.821457688095,217.258691531189,221.692211834814,215.796644982519
"FV_blue",19.3324419577825,49.6807195340675,73.3598239266468,90.9459300334024,125.546289061184,156.162639135445,0,23.6050579714108,24.9533451100127,74.6588185526508,61.0960523957447,65.5295726993695,59.6340058470745
"FV_green",42.9374999291933,73.2857775054783,96.9648818980576,114.550988004813,149.151347032595,179.767697106855,23.6050579714108,0,48.5584030814235,51.05376058124,37.4909944243339,41.9245147279587,36.0289478756637
"FV_red",5.62090315223021,24.7273744240547,48.406478816634,65.9925849233897,100.592943951171,131.209294025432,24.9533451100127,48.5584030814235,0,99.6121636626635,86.0493975057574,90.4829178093823,84.5873509570872
"int_blue",93.9912605104333,124.339538086718,148.018642479298,165.604748586053,200.205107613835,230.821457688095,74.6588185526508,51.05376058124,99.6121636626635,0,13.5627661569061,9.1292458532813,15.0248127055763
"int_green",80.4284943535272,110.776771929812,134.455876322391,152.041982429147,186.642341456929,217.258691531189,61.0960523957447,37.4909944243339,86.0493975057574,13.5627661569061,0,4.43352030362482,1.46204654867021
"int_red",84.862014657152,115.210292233437,138.889396626016,156.475502732772,191.075861760553,221.692211834814,65.5295726993695,41.9245147279587,90.4829178093823,9.1292458532813,4.43352030362482,0,5.89556685229503
"int_white",78.966447804857,109.314725381142,132.993829773721,150.579935880477,185.180294908258,215.796644982519,59.6340058470745,36.0289478756637,84.5873509570872,15.0248127055763,1.46204654867021,5.89556685229503,0
