param,material,process,best_system,best_color,best_n,best_median_abs_diff_pct,best_q25_abs_diff_pct,best_q75_abs_diff_pct,best_mean_abs_diff_pct,best_category
ra,14301,b,int,green,1,11.140832750516,11.140832750516,11.140832750516,11.140832750516,10--30\%
ra,14301,gla,FV,red,1,0.791550096250212,0.791550096250212,0.791550096250212,0.791550096250212,<10\%
ra,14301,gri,int,red,1,13.3920304552239,13.3920304552239,13.3920304552239,13.3920304552239,10--30\%
ra,14301,hon,int,red,1,0.369447893329784,0.369447893329784,0.369447893329784,0.369447893329784,<10\%
ra,14301,mf,int,white,1,38.9380192751862,38.9380192751862,38.9380192751862,38.9380192751862,>30\%
ra,14301,mr,int,red,1,68.7728080900642,68.7728080900642,68.7728080900642,68.7728080900642,>30\%
ra,14301,tf,FV,blue,1,15.8612038742836,15.8612038742836,15.8612038742836,15.8612038742836,10--30\%
ra,14301,tr,FV,blue,1,42.0059258461871,42.0059258461871,42.0059258461871,42.0059258461871,>30\%
ra,14301,wedm_f,FV,green,1,1.24459149132401,1.24459149132401,1.24459149132401,1.24459149132401,<10\%
ra,14301,wedm_r,FV,red,1,0.209405732199418,0.209405732199418,0.209405732199418,0.209405732199418,<10\%
ra,al7075,b,int,white,1,22.5879655120824,22.5879655120824,22.5879655120824,22.5879655120824,10--30\%
ra,al7075,gla,FV,red,1,2.96568817466986,2.96568817466986,2.96568817466986,2.96568817466986,<10\%
ra,al7075,gri,int,red,1,2.57868982813595,2.57868982813595,2.57868982813595,2.57868982813595,<10\%
ra,al7075,hon,FV,red,1,6.0009881264271,6.0009881264271,6.0009881264271,6.0009881264271,<10\%
ra,al7075,mf,int,green,1,21.100970864567,21.100970864567,21.100970864567,21.100970864567,10--30\%
ra,al7075,mr,int,green,1,42.7863388990324,42.7863388990324,42.7863388990324,42.7863388990324,>30\%
ra,al7075,tf,FV,blue,1,2.45513718401794,2.45513718401794,2.45513718401794,2.45513718401794,<10\%
ra,al7075,tr,FV,blue,1,65.7990810780424,65.7990810780424,65.7990810780424,65.7990810780424,>30\%
ra,al7075,wedm_f,int,red,1,3.19073260976706,3.19073260976706,3.19073260976706,3.19073260976706,<10\%
ra,al7075,wedm_r,conf,blue,1,1.61552200658661,1.61552200658661,1.61552200658661,1.61552200658661,<10\%
ra,c45,b,int,white,1,1.19216757511038,1.19216757511038,1.19216757511038,1.19216757511038,<10\%
ra,c45,gla,conf,blue,1,5.63443129810873,5.63443129810873,5.63443129810873,5.63443129810873,<10\%
ra,c45,gri,int,white,1,0.589963833273956,0.589963833273956,0.589963833273956,0.589963833273956,<10\%
ra,c45,hon,int,white,1,1.3552064757115,1.3552064757115,1.3552064757115,1.3552064757115,<10\%
ra,c45,mf,fusion,green,1,1.2335612787083,1.2335612787083,1.2335612787083,1.2335612787083,<10\%
ra,c45,mr,fusion,red,1,37.0105008176241,37.0105008176241,37.0105008176241,37.0105008176241,>30\%
ra,c45,tf,fusion,red,1,54.2827325336984,54.2827325336984,54.2827325336984,54.2827325336984,>30\%
ra,c45,tr,FV,blue,1,80.0509661350495,80.0509661350495,80.0509661350495,80.0509661350495,>30\%
ra,c45,wedm_f,FV,green,1,12.984742048451,12.984742048451,12.984742048451,12.984742048451,10--30\%
ra,c45,wedm_r,FV,blue,1,0.161494139254598,0.161494139254598,0.161494139254598,0.161494139254598,<10\%
ra,ellor,gla,FV,red,1,12.7328876887696,12.7328876887696,12.7328876887696,12.7328876887696,10--30\%
ra,ellor,gri,int,blue,1,41.458237408676,41.458237408676,41.458237408676,41.458237408676,>30\%
ra,ellor,hon,int,green,1,20.4365055893064,20.4365055893064,20.4365055893064,20.4365055893064,10--30\%
ra,ellor,mf,fusion,blue,1,0.416582343602304,0.416582343602304,0.416582343602304,0.416582343602304,<10\%
ra,ellor,mr,int,red,1,0.451829936317876,0.451829936317876,0.451829936317876,0.451829936317876,<10\%
ra,ellor,tf,conf,blue,1,4.60955712473424,4.60955712473424,4.60955712473424,4.60955712473424,<10\%
ra,ellor,tr,fusion,red,1,10.0673435565085,10.0673435565085,10.0673435565085,10.0673435565085,10--30\%
ra,ellor,wedm_f,FV,green,1,9.29216495918331,9.29216495918331,9.29216495918331,9.29216495918331,<10\%
ra,ellor,wedm_r,FV,red,1,0.856552813854951,0.856552813854951,0.856552813854951,0.856552813854951,<10\%
ra,mo58a,b,int,green,1,94.4986202941751,94.4986202941751,94.4986202941751,94.4986202941751,>30\%
ra,mo58a,gla,int,blue,1,3.45282452329206,3.45282452329206,3.45282452329206,3.45282452329206,<10\%
ra,mo58a,gri,int,red,1,13.8660570255142,13.8660570255142,13.8660570255142,13.8660570255142,10--30\%
ra,mo58a,hon,conf,blue,1,2.5613902209418,2.5613902209418,2.5613902209418,2.5613902209418,<10\%
ra,mo58a,mf,int,green,1,4.54089760519341,4.54089760519341,4.54089760519341,4.54089760519341,<10\%
ra,mo58a,mr,FV,blue,1,18.3643999830254,18.3643999830254,18.3643999830254,18.3643999830254,10--30\%
ra,mo58a,tf,fusion,red,1,48.8032932012631,48.8032932012631,48.8032932012631,48.8032932012631,>30\%
ra,mo58a,tr,fusion,red,1,13.4139688678033,13.4139688678033,13.4139688678033,13.4139688678033,10--30\%
ra,mo58a,wedm_f,int,red,1,2.84397846719863,2.84397846719863,2.84397846719863,2.84397846719863,<10\%
ra,mo58a,wedm_r,fusion,red,1,9.81671957298616,9.81671957298616,9.81671957298616,9.81671957298616,<10\%
ra,ti6al4v,b,int,white,1,18.1279163715876,18.1279163715876,18.1279163715876,18.1279163715876,10--30\%
ra,ti6al4v,gla,int,blue,1,7.56032617309386,7.56032617309386,7.56032617309386,7.56032617309386,<10\%
ra,ti6al4v,gri,int,white,1,66.2988630766762,66.2988630766762,66.2988630766762,66.2988630766762,>30\%
ra,ti6al4v,hon,int,red,1,24.2596130134239,24.2596130134239,24.2596130134239,24.2596130134239,10--30\%
ra,ti6al4v,mf,int,white,1,13.518971698162,13.518971698162,13.518971698162,13.518971698162,10--30\%
ra,ti6al4v,mr,int,blue,1,5.74001856157168,5.74001856157168,5.74001856157168,5.74001856157168,<10\%
ra,ti6al4v,tf,fusion,red,1,10.0478601900836,10.0478601900836,10.0478601900836,10.0478601900836,10--30\%
ra,ti6al4v,tr,fusion,red,1,62.7230090165748,62.7230090165748,62.7230090165748,62.7230090165748,>30\%
ra,ti6al4v,wedm_f,int,blue,1,8.29135373430735,8.29135373430735,8.29135373430735,8.29135373430735,<10\%
ra,ti6al4v,wedm_r,int,red,1,2.56224245122463,2.56224245122463,2.56224245122463,2.56224245122463,<10\%
rq,14301,b,int,green,1,24.15278893874,24.15278893874,24.15278893874,24.15278893874,10--30\%
rq,14301,gla,FV,red,1,1.02366330143366,1.02366330143366,1.02366330143366,1.02366330143366,<10\%
rq,14301,gri,int,red,1,10.9948248034705,10.9948248034705,10.9948248034705,10.9948248034705,10--30\%
rq,14301,hon,int,red,1,1.54374353590113,1.54374353590113,1.54374353590113,1.54374353590113,<10\%
rq,14301,mf,int,white,1,24.5239623611835,24.5239623611835,24.5239623611835,24.5239623611835,10--30\%
rq,14301,mr,int,blue,1,64.778192935098,64.778192935098,64.778192935098,64.778192935098,>30\%
rq,14301,tf,FV,blue,1,20.5682534752589,20.5682534752589,20.5682534752589,20.5682534752589,10--30\%
rq,14301,tr,FV,blue,1,37.2142312168571,37.2142312168571,37.2142312168571,37.2142312168571,>30\%
rq,14301,wedm_f,FV,green,1,1.73830630641958,1.73830630641958,1.73830630641958,1.73830630641958,<10\%
rq,14301,wedm_r,FV,green,1,0.58014113632052,0.58014113632052,0.58014113632052,0.58014113632052,<10\%
rq,al7075,b,int,white,1,7.98239796856328,7.98239796856328,7.98239796856328,7.98239796856328,<10\%
rq,al7075,gla,FV,red,1,3.28167645043082,3.28167645043082,3.28167645043082,3.28167645043082,<10\%
rq,al7075,gri,int,red,1,8.13938053629963,8.13938053629963,8.13938053629963,8.13938053629963,<10\%
rq,al7075,hon,FV,red,1,2.87178947219126,2.87178947219126,2.87178947219126,2.87178947219126,<10\%
rq,al7075,mf,FV,green,1,29.6185493492974,29.6185493492974,29.6185493492974,29.6185493492974,10--30\%
rq,al7075,mr,int,green,1,42.6355007738218,42.6355007738218,42.6355007738218,42.6355007738218,>30\%
rq,al7075,tf,FV,blue,1,3.00227922326047,3.00227922326047,3.00227922326047,3.00227922326047,<10\%
rq,al7075,tr,FV,blue,1,62.1595140284249,62.1595140284249,62.1595140284249,62.1595140284249,>30\%
rq,al7075,wedm_f,int,red,1,2.16284391167135,2.16284391167135,2.16284391167135,2.16284391167135,<10\%
rq,al7075,wedm_r,conf,blue,1,3.46219730562423,3.46219730562423,3.46219730562423,3.46219730562423,<10\%
rq,c45,b,int,green,1,2.86690894379413,2.86690894379413,2.86690894379413,2.86690894379413,<10\%
