process,n_groups,good_n,mid_n,poor_n,median_best,q25_best,q75_best,best_system_mode,best_color_mode,good_pct,mid_pct,poor_pct
gla,42,35,1,6,4.722110213897475,1.0606456067005126,7.475985421434222,FV,blue,83.33333333333333,2.380952380952381,14.285714285714286
wedm_r,42,33,3,6,1.5845891923725501,0.6407961772439568,8.055245772935706,int,green,78.57142857142857,7.142857142857143,14.285714285714286
hon,42,30,5,7,3.7969322648836004,1.2049172135388226,12.0553945737387,int,red,71.42857142857143,11.904761904761905,16.666666666666668
wedm_f,42,29,7,6,7.50412730073468,2.9306670028407376,12.859217567412776,FV,green,69.04761904761905,16.666666666666668,14.285714285714286
mf,42,23,11,8,8.071657391995515,1.96758342711927,23.968680855771176,int,green,54.76190476190476,26.19047619047619,19.047619047619047
gri,42,18,8,16,11.239610389166149,2.8204114720581748,94.66893155043664,int,blue,42.857142857142854,19.047619047619047,38.095238095238095
mr,42,17,4,21,28.60430381188225,4.7117451979971525,42.748629367729755,int,blue,40.476190476190474,9.523809523809524,50
tf,42,16,5,21,25.295845995258752,2.98312224843751,50.22735196493933,fusion,red,38.095238095238095,11.904761904761905,50
tr,42,12,9,21,31.23177599745185,7.568339751974907,74.99990868178112,fusion,red,28.571428571428573,21.428571428571427,50
b,35,9,15,11,19.0139678097246,9.667982481411585,37.6636076626143,int,white,25.714285714285715,42.857142857142854,31.428571428571427
