"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_conf_blue_5x5.mnt",3.725870184,4.94773035607078,-1.22186017207078,0.753046329501045,-24.6953670498955,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.22186017207078,24.6953670498955,"conf","blue","conf_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_conf_green_5x5.mnt",3.947360774,4.94773035607078,-1.00036958207078,0.797812429118466,-20.2187570881534,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.00036958207078,20.2187570881534,"conf","green","conf_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_conf_red_5x5.mnt",4.080244492,4.94773035607078,-0.867485864070778,0.824669939216395,-17.5330060783605,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,0.867485864070778,17.5330060783605,"conf","red","conf_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_fusion_blue_5x5.mnt",5.937144776,4.94773035607078,0.989414419929222,1.19997339158049,19.9973391580491,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,0.989414419929222,19.9973391580491,"fusion","blue","fusion_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_fusion_green_5x5.mnt",4.442315339,4.94773035607078,-0.505415017070778,0.89784911854571,-10.215088145429,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,0.505415017070778,10.215088145429,"fusion","green","fusion_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_fusion_red_5x5.mnt",4.245526978,4.94773035607078,-0.702203378070778,0.858075657415488,-14.1924342584512,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,0.702203378070778,14.1924342584512,"fusion","red","fusion_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_FV_blue_5x5.mnt",3.238767785,4.94773035607078,-1.70896257107078,0.654596663907945,-34.5403336092055,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.70896257107078,34.5403336092055,"FV","blue","FV_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_FV_green_5x5.mnt",3.223645016,4.94773035607078,-1.72408534007078,0.65154015760876,-34.845984239124,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.72408534007078,34.845984239124,"FV","green","FV_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_FV_red_5x5.mnt",3.070473211,4.94773035607078,-1.87725714507078,0.620582163947674,-37.9417836052326,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.87725714507078,37.9417836052326,"FV","red","FV_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_blue_5x5.mnt",3.305491381,4.94773035607078,-1.64223897507078,0.668082361631575,-33.1917638368425,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.64223897507078,33.1917638368425,"int","blue","int_blue"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_green_5x5.mnt",3.73037863,4.94773035607078,-1.21735172607078,0.753957544477518,-24.6042455522482,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.21735172607078,24.6042455522482,"int","green","int_green"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_red_5x5.mnt",3.669982438,4.94773035607078,-1.27774791807078,0.741750696558675,-25.8249303441325,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.27774791807078,25.8249303441325,"int","red","int_red"
"P3_1_4301\AU_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_HON_x10_int_white_5x5.mnt",3.721148383,4.94773035607078,-1.22658197307078,0.752091992732429,-24.7908007267571,"14301_HON.xlsx","14301_HON.xlsx",20,1.31087615268055,0.293120818747711,1.22658197307078,24.7908007267571,"int","white","int_white"
