"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_green","int_red","int_white"
"conf_blue",0,2.75946483495596,4.13581485354303,0.0225715154659278,5.32363891412375,17.5529395208277,2.75619987597822,1.51548018819388,2.79344293608522,3.20351689404965,1.20899327310855,2.8319987421976
"conf_green",2.75946483495596,0,1.37635001858707,2.73689331949003,8.08310374907971,20.3124043557837,5.51566471093418,1.24398464676207,0.0339781011292661,5.9629817290056,3.96845810806451,5.59146357715356
"conf_red",4.13581485354303,1.37635001858707,0,4.1132433380771,9.45945376766678,21.6887543743708,6.89201472952125,2.62033466534914,1.34237191745781,7.33933174759268,5.34480812665158,6.96781359574063
"fusion_blue",0.0225715154659278,2.73689331949003,4.1132433380771,0,5.34621042958968,17.5755110362937,2.77877139144415,1.49290867272796,2.7708714206193,3.22608840951557,1.23156478857448,2.85457025766353
"fusion_green",5.32363891412375,8.08310374907971,9.45945376766678,5.34621042958968,0,12.229300606704,2.56743903814553,6.83911910231764,8.11708185020897,2.1201220200741,4.1146456410152,2.49164017192615
"fusion_red",17.5529395208277,20.3124043557837,21.6887543743708,17.5755110362937,12.229300606704,0,14.7967396448495,19.0684197090216,20.346382456913,14.3494226267781,16.3439462477192,14.7209407786301
"FV_blue",2.75619987597822,5.51566471093418,6.89201472952125,2.77877139144415,2.56743903814553,14.7967396448495,0,4.27168006417211,5.54964281206344,0.447317018071425,1.54720660286967,0.0757988662193814
"FV_green",1.51548018819388,1.24398464676207,2.62033466534914,1.49290867272796,6.83911910231764,19.0684197090216,4.27168006417211,0,1.27796274789134,4.71899708224353,2.72447346130244,4.34747893039149
"FV_red",2.79344293608522,0.0339781011292661,1.34237191745781,2.7708714206193,8.11708185020897,20.346382456913,5.54964281206344,1.27796274789134,0,5.99695983013487,4.00243620919378,5.62544167828283
"int_green",3.20351689404965,5.9629817290056,7.33933174759268,3.22608840951557,2.1201220200741,14.3494226267781,0.447317018071425,4.71899708224353,5.99695983013487,0,1.99452362094109,0.371518151852044
"int_red",1.20899327310855,3.96845810806451,5.34480812665158,1.23156478857448,4.1146456410152,16.3439462477192,1.54720660286967,2.72447346130244,4.00243620919378,1.99452362094109,0,1.62300546908905
"int_white",2.8319987421976,5.59146357715356,6.96781359574063,2.85457025766353,2.49164017192615,14.7209407786301,0.0757988662193814,4.34747893039149,5.62544167828283,0.371518151852044,1.62300546908905,0
