"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_blue_5x5.mnt",3.489484828,3.21746074925728,0.272024078742717,1.08454619960959,8.45461996095868,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.272024078742717,8.45461996095868,"conf","blue","conf_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_green_5x5.mnt",3.702706777,3.21746074925728,0.485246027742717,1.15081645606857,15.0816456068572,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.485246027742717,15.0816456068572,"conf","green","conf_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_red_5x5.mnt",3.954103112,3.21746074925728,0.736642362742717,1.22895146830082,22.8951468300822,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.736642362742717,22.8951468300822,"conf","red","conf_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_blue_5x5.mnt",3.289357375,3.21746074925728,0.0718966257427165,1.02234576622553,2.23457662255283,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.0718966257427165,2.23457662255283,"fusion","blue","fusion_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_green_5x5.mnt",6.360493318,3.21746074925728,3.14303256874272,1.97686741616607,97.6867416166072,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,3.14303256874272,97.6867416166072,"fusion","green","fusion_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_red_5x5.mnt",5.277141546,3.21746074925728,2.05968079674272,1.64015724114682,64.0157241146818,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,2.05968079674272,64.0157241146818,"fusion","red","fusion_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_blue_5x5.mnt",3.484094084,3.21746074925728,0.266633334742717,1.0828707342597,8.28707342597004,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.266633334742717,8.28707342597004,"FV","blue","FV_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_green_5x5.mnt",3.170157118,3.21746074925728,-0.0473036312572832,0.985297837349468,-1.4702162650532,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.0473036312572832,1.4702162650532,"FV","green","FV_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_red_5x5.mnt",3.21815455,3.21746074925728,0.000693800742716633,1.00021563611705,0.0215636117045651,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.000693800742716633,0.0215636117045651,"FV","red","FV_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_blue_5x5.mnt",2.939539245,3.21746074925728,-0.277921504257283,0.913620856347218,-8.63791436527822,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.277921504257283,8.63791436527822,"int","blue","int_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_green_5x5.mnt",3.087020122,3.21746074925728,-0.130440627257283,0.95945851793611,-4.05414820638897,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.130440627257283,4.05414820638897,"int","green","int_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_red_5x5.mnt",3.059940789,3.21746074925728,-0.157519960257283,0.951042150150971,-4.89578498490292,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.157519960257283,4.89578498490292,"int","red","int_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_white_5x5.mnt",3.098334892,3.21746074925728,-0.119125857257283,0.962975194869189,-3.70248051308108,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.320326049079529,0.0716270820705761,0.119125857257283,3.70248051308108,"int","white","int_white"
