"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_conf_blue_5x5.mnt",3.859614857,4.74724147438487,-0.887626617384867,0.813022652802829,-18.6977347197171,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.887626617384867,18.6977347197171,"conf","blue","conf_blue"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_conf_green_5x5.mnt",4.083646038,4.74724147438487,-0.663595436384867,0.860214518270139,-13.9785481729862,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.663595436384867,13.9785481729862,"conf","green","conf_green"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_conf_red_5x5.mnt",4.187652883,4.74724147438487,-0.559588591384867,0.882123419589188,-11.7876580410811,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.559588591384867,11.7876580410811,"conf","red","conf_red"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_fusion_blue_5x5.mnt",4.227545075,4.74724147438487,-0.519696399384867,0.890526655913957,-10.9473344086043,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.519696399384867,10.9473344086043,"fusion","blue","fusion_blue"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_fusion_green_5x5.mnt",4.323484505,4.74724147438487,-0.423756969384868,0.910736167167528,-8.92638328324718,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.423756969384868,8.92638328324718,"fusion","green","fusion_green"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_fusion_red_5x5.mnt",4.466686036,4.74724147438487,-0.280555438384868,0.940901376115227,-5.90986238847732,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.280555438384868,5.90986238847732,"fusion","red","fusion_red"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_FV_blue_5x5.mnt",3.811924029,4.74724147438487,-0.935317445384867,0.802976644345638,-19.7023355654362,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.935317445384867,19.7023355654362,"FV","blue","FV_blue"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_FV_green_5x5.mnt",4.644887297,4.74724147438487,-0.102354177384867,0.97843923088026,-2.15607691197401,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.102354177384867,2.15607691197401,"FV","green","FV_green"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_FV_red_5x5.mnt",5.88351966,4.74724147438487,1.13627818561513,1.23935546395654,23.9355463956543,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,1.13627818561513,23.9355463956543,"FV","red","FV_red"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_int_blue_5x5.mnt",4.499762925,4.74724147438487,-0.247478549384867,0.947868978074907,-5.21310219250928,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.247478549384867,5.21310219250928,"int","blue","int_blue"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_int_green_5x5.mnt",6.110218433,4.74724147438487,1.36297695861513,1.28710925407302,28.7109254073018,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,1.36297695861513,28.7109254073018,"int","green","int_green"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_int_red_5x5.mnt",4.314928653,4.74724147438487,-0.432312821384867,0.908933888508192,-9.1066111491808,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,0.432312821384867,9.1066111491808,"int","red","int_red"
"P3_Al7075\Al_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_HON_x10_int_white_5x5.mnt",6.331035915,4.74724147438487,1.58379444061513,1.33362415818975,33.3624158189753,"Al7075_HON.xlsx","Al7075_HON.xlsx",20,0.642828340300055,0.143740786677429,1.58379444061513,33.3624158189753,"int","white","int_white"
