"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_conf_blue_5x5.mnt",4.232959711,3.62809336417844,0.604866346821559,1.1667174149358,16.67174149358,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.604866346821559,16.67174149358,"conf","blue","conf_blue"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_conf_green_5x5.mnt",3.682029068,3.62809336417844,0.0539357038215589,1.01486612895745,1.48661289574537,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.0539357038215589,1.48661289574537,"conf","green","conf_green"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_conf_red_5x5.mnt",3.695714206,3.62809336417844,0.0676208418215589,1.01863812064188,1.86381206418791,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.0676208418215589,1.86381206418791,"conf","red","conf_red"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_fusion_blue_5x5.mnt",5.486236893,3.62809336417844,1.85814352882156,1.51215427562249,51.2154275622486,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,1.85814352882156,51.2154275622486,"fusion","blue","fusion_blue"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_fusion_green_5x5.mnt",3.694357145,3.62809336417844,0.0662637808215591,1.0182640781728,1.82640781727965,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.0662637808215591,1.82640781727965,"fusion","green","fusion_green"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_fusion_red_5x5.mnt",3.478504987,3.62809336417844,-0.149588377178441,0.958769424553573,-4.12305754464272,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.149588377178441,4.12305754464272,"fusion","red","fusion_red"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_FV_blue_5x5.mnt",3.335521702,3.62809336417844,-0.292571662178441,0.919359389957515,-8.0640610042485,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.292571662178441,8.0640610042485,"FV","blue","FV_blue"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_FV_green_5x5.mnt",3.387492788,3.62809336417844,-0.240600576178441,0.933684017463833,-6.63159825361671,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.240600576178441,6.63159825361671,"FV","green","FV_green"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_FV_red_5x5.mnt",3.347742073,3.62809336417844,-0.280351291178441,0.922727652505733,-7.72723474942671,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.280351291178441,7.72723474942671,"FV","red","FV_red"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_int_blue_5x5.mnt",3.009121607,3.62809336417844,-0.618971757178441,0.829394755027589,-17.0605244972411,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.618971757178441,17.0605244972411,"int","blue","int_blue"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_int_green_5x5.mnt",3.210485889,3.62809336417844,-0.417607475178441,0.884896160804008,-11.5103839195992,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.417607475178441,11.5103839195992,"int","green","int_green"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_int_red_5x5.mnt",3.276870124,3.62809336417844,-0.351223240178441,0.903193439384388,-9.68065606156122,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.351223240178441,9.68065606156122,"int","red","int_red"
"P3_Al7075\Al_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_F_x10_int_white_5x5.mnt",3.083124975,3.62809336417844,-0.544968389178441,0.849792071350996,-15.0207928649004,"Al7075_WEDM_F.xlsx","Al7075_WEDM_F.xlsx",20,0.191554746986686,0.0428329435675002,0.544968389178441,15.0207928649004,"int","white","int_white"
