"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_conf_green_5x5.mnt",3.963668385,8.2512973823486,-4.2876289973486,0.480369110617584,-51.9630889382416,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,4.2876289973486,51.9630889382416,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_conf_red_5x5.mnt",4.186962364,8.2512973823486,-4.0643350183486,0.507430791787588,-49.2569208212413,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,4.0643350183486,49.2569208212413,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_blue_5x5.mnt",4.287380453,8.2512973823486,-3.9639169293486,0.519600767531622,-48.0399232468378,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,3.9639169293486,48.0399232468378,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_green_5x5.mnt",4.496094008,8.2512973823486,-3.7552033743486,0.544895402463395,-45.5104597536605,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,3.7552033743486,45.5104597536605,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_red_5x5.mnt",4.861460923,8.2512973823486,-3.3898364593486,0.589175337856537,-41.0824662143463,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,3.3898364593486,41.0824662143463,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_blue_5x5.mnt",3.785778657,8.2512973823486,-4.4655187253486,0.458810109680284,-54.1189890319716,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,4.4655187253486,54.1189890319716,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_green_5x5.mnt",3.432825845,8.2512973823486,-4.8184715373486,0.416034677448857,-58.3965322551143,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,4.8184715373486,58.3965322551143,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_red_5x5.mnt",3.400831745,8.2512973823486,-4.8504656373486,0.412157214485464,-58.7842785514536,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,4.8504656373486,58.7842785514536,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_blue_5x5.mnt",3.06868759,8.2512973823486,-5.1826097923486,0.371903647123981,-62.8096352876019,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,5.1826097923486,62.8096352876019,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_blue_5x5_pomiar2.mnt",3.055201947,8.2512973823486,-5.1960954353486,0.370269280747991,-62.9730719252009,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,5.1960954353486,62.9730719252009,"int","blue","int_blue"
"C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_green_5x5.mnt",3.104221288,8.2512973823486,-5.1470760943486,0.376210084809285,-62.3789915190715,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,5.1470760943486,62.3789915190715,"int","green","int_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_red_5x5.mnt",3.512565808,8.2512973823486,-4.7387315743486,0.4256986077746,-57.43013922254,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,4.7387315743486,57.43013922254,"int","red","int_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_white_5x5.mnt",3.07532425,8.2512973823486,-5.1759731323486,0.372707964274663,-62.7292035725337,"C45_B.xlsx","C45_B.xlsx",20,3.41059006987901,0.762631123963523,5.1759731323486,62.7292035725337,"int","white","int_white"
