"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_blue_5x5.mnt",5.762308637,6.06842165682907,-0.306113019829071,0.949556402448635,-5.04435975513646,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.306113019829071,5.04435975513646,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_green_5x5.mnt",5.662827661,6.06842165682907,-0.405593995829071,0.933163181669712,-6.68368183302882,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.405593995829071,6.68368183302882,"conf","green","conf_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_red_5x5.mnt",5.54843825,6.06842165682907,-0.519983406829071,0.914313237241201,-8.5686762758799,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.519983406829071,8.5686762758799,"conf","red","conf_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_blue_5x5.mnt",5.741087831,6.06842165682907,-0.327333825829071,0.946059478998018,-5.39405210019821,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.327333825829071,5.39405210019821,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_green_5x5.mnt",5.71014569,6.06842165682907,-0.358275966829071,0.940960601110194,-5.90393988898063,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.358275966829071,5.90393988898063,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_red_5x5.mnt",5.796299894,6.06842165682907,-0.272121762829071,0.955157736522339,-4.48422634776607,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.272121762829071,4.48422634776607,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_blue_5x5.mnt",5.950804802,6.06842165682907,-0.117616854829071,0.980618213189469,-1.9381786810531,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.117616854829071,1.9381786810531,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_green_5x5.mnt",6.204852648,6.06842165682907,0.136430991170929,1.02248212119825,2.24821211982521,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.136430991170929,2.24821211982521,"FV","green","FV_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_red_5x5.mnt",6.221239382,6.06842165682907,0.152817725170929,1.02518245003607,2.51824500360743,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.152817725170929,2.51824500360743,"FV","red","FV_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_blue_5x5.mnt",5.755492774,6.06842165682907,-0.312928882829071,0.948433233462458,-5.15667665375423,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.312928882829071,5.15667665375423,"int","blue","int_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_green_5x5.mnt",6.129114036,6.06842165682907,0.0606923791709288,1.01000134509484,1.00013450948368,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.0606923791709288,1.00013450948368,"int","green","int_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_red_5x5.mnt",6.15755427,6.06842165682907,0.0891326131709294,1.01468793999682,1.46879399968235,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.0891326131709294,1.46879399968235,"int","red","int_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_white_5x5.mnt",6.117715099,6.06842165682907,0.0492934421709288,1.00812294282739,0.81229428273918,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,1.51187243201863,0.338064953130159,0.0492934421709288,0.81229428273918,"int","white","int_white"
