"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_blue_5x5.mnt",9.270082385,18.0874513511704,-8.81736896617038,0.512514571844317,-48.7485428155683,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,8.81736896617038,48.7485428155683,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_green_5x5.mnt",8.585729729,18.0874513511704,-9.50172162217038,0.474678801468867,-52.5321198531133,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,9.50172162217038,52.5321198531133,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_red_5x5.mnt",7.607188384,18.0874513511704,-10.4802629671704,0.420578236054676,-57.9421763945324,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,10.4802629671704,57.9421763945324,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_blue_5x5.mnt",8.284701885,18.0874513511704,-9.80274946617038,0.458035890416586,-54.1964109583414,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,9.80274946617038,54.1964109583414,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_green_5x5.mnt",8.261084813,18.0874513511704,-9.82636653817038,0.456730174561904,-54.3269825438096,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,9.82636653817038,54.3269825438096,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_red_5x5.mnt",7.539586119,18.0874513511704,-10.5478652321704,0.416840713078802,-58.3159286921198,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,10.5478652321704,58.3159286921198,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_blue_5x5.mnt",9.217384649,18.0874513511704,-8.87006670217038,0.509601074802812,-49.0398925197188,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,8.87006670217038,49.0398925197188,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_green_5x5.mnt",9.845003278,18.0874513511704,-8.24244807317038,0.544300193922178,-45.5699806077822,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,8.24244807317038,45.5699806077822,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_red_5x5.mnt",9.344220412,18.0874513511704,-8.74323093917038,0.516613437160419,-48.3386562839581,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,8.74323093917038,48.3386562839581,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_green_5x5.mnt",11.61045247,18.0874513511704,-6.47699888117038,0.641906493324098,-35.8093506675902,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,6.47699888117038,35.8093506675902,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_red_5x5.mnt",11.52963799,18.0874513511704,-6.55781336117038,0.637438507291629,-36.2561492708371,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,6.55781336117038,36.2561492708371,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_white_5x5.mnt",11.37985237,18.0874513511704,-6.70759898117038,0.629157317361003,-37.0842682638997,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,6.70759898117038,37.0842682638997,"int","white","int_white"
NA,NA,18.0874513511704,NA,NA,NA,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,7.80652289130559,1.74559158528675,NA,NA,"other","unknown","other_unknown"
