"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_blue_5x5.mnt",7.979549992,18.7524648230996,-10.7729148310996,0.425520061883846,-57.4479938116154,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,10.7729148310996,57.4479938116154,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_green_5x5.mnt",7.677481973,18.7524648230996,-11.0749828500996,0.409411885073515,-59.0588114926485,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,11.0749828500996,59.0588114926485,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_red_5x5.mnt",6.93675674,18.7524648230996,-11.8157080830996,0.369911731894315,-63.0088268105685,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,11.8157080830996,63.0088268105685,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_blue_5x5.mnt",7.58845454,18.7524648230996,-11.1640102830996,0.404664379407469,-59.5335620592531,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,11.1640102830996,59.5335620592531,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_green_5x5.mnt",7.340937085,18.7524648230996,-11.4115277380996,0.39146518360388,-60.853481639612,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,11.4115277380996,60.853481639612,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_red_5x5.mnt",6.822321057,18.7524648230996,-11.9301437660996,0.363809297676759,-63.6190702323241,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,11.9301437660996,63.6190702323241,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_blue_5x5.mnt",8.018643591,18.7524648230996,-10.7338212320996,0.427604779779269,-57.2395220220731,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,10.7338212320996,57.2395220220731,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_green_5x5.mnt",9.095124545,18.7524648230996,-9.65734027809962,0.485009551053601,-51.4990448946399,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,9.65734027809962,51.4990448946399,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_red_5x5.mnt",8.792574789,18.7524648230996,-9.95989003409962,0.46887568498031,-53.112431501969,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,9.95989003409962,53.112431501969,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_blue_5x5.mnt",7.912345615,18.7524648230996,-10.8401192080996,0.421936299555322,-57.8063700444678,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,10.8401192080996,57.8063700444678,"int","blue","int_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_green_5x5.mnt",10.56860909,18.7524648230996,-8.18385573309962,0.563585064134151,-43.6414935865849,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,8.18385573309962,43.6414935865849,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_red_5x5.mnt",10.13808012,18.7524648230996,-8.61438470309962,0.540626537131894,-45.9373462868106,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,8.61438470309962,45.9373462868106,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_white_5x5.mnt",9.607753758,18.7524648230996,-9.14471106509962,0.512346182149079,-48.7653817850921,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,7.69734926833016,1.72117962105445,9.14471106509962,48.7653817850921,"int","white","int_white"
