"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_blue_5x5.mnt",3.55373663,4.47080145794374,-0.917064827943737,0.794876861213711,-20.5123138786289,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.917064827943737,20.5123138786289,"conf","blue","conf_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_green_5x5.mnt",3.892152855,4.47080145794374,-0.578648602943737,0.870571617105566,-12.9428382894434,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.578648602943737,12.9428382894434,"conf","green","conf_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_red_5x5.mnt",3.973203838,4.47080145794374,-0.497597619943737,0.88870057759787,-11.129942240213,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.497597619943737,11.129942240213,"conf","red","conf_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_blue_5x5.mnt",3.785956044,4.47080145794374,-0.684845413943737,0.846818200184913,-15.3181799815087,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.684845413943737,15.3181799815087,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_green_5x5.mnt",4.140677863,4.47080145794374,-0.330123594943737,0.926160086049634,-7.38399139503662,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.330123594943737,7.38399139503662,"fusion","green","fusion_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_red_5x5.mnt",4.13390183,4.47080145794374,-0.336899627943737,0.924644466744294,-7.53555332557057,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.336899627943737,7.53555332557057,"fusion","red","fusion_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_blue_5x5.mnt",3.298563529,4.47080145794374,-1.17223792894374,0.737801389757333,-26.2198610242667,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,1.17223792894374,26.2198610242667,"FV","blue","FV_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_green_5x5.mnt",3.546427071,4.47080145794374,-0.924374386943737,0.793241906257925,-20.6758093742075,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,0.924374386943737,20.6758093742075,"FV","green","FV_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_red_5x5.mnt",3.351641935,4.47080145794374,-1.11915952294374,0.749673624858646,-25.0326375141354,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,1.11915952294374,25.0326375141354,"FV","red","FV_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_blue_5x5.mnt",2.9717214,4.47080145794374,-1.49908005794374,0.66469545291926,-33.530454708074,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,1.49908005794374,33.530454708074,"int","blue","int_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_green_5x5.mnt",3.320751233,4.47080145794374,-1.15005022494374,0.742764192111389,-25.7235807888611,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,1.15005022494374,25.7235807888611,"int","green","int_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_red_5x5.mnt",3.386246848,4.47080145794374,-1.08455460994374,0.757413828337938,-24.2586171662062,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,1.08455460994374,24.2586171662062,"int","red","int_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_white_5x5.mnt",3.307871694,4.47080145794374,-1.16292976394374,0.73988337999724,-26.011662000276,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.515441175449271,0.115256150670697,1.16292976394374,26.011662000276,"int","white","int_white"
