"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_conf_blue_5x5.mnt",3.159673674,3.89294434849004,-0.73327067449004,0.811641110468365,-18.8358889531635,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.73327067449004,18.8358889531635,"conf","blue","conf_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_conf_green_5x5.mnt",3.167629331,3.89294434849004,-0.72531501749004,0.813684719697735,-18.6315280302265,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.72531501749004,18.6315280302265,"conf","green","conf_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_conf_red_5x5.mnt",3.255665996,3.89294434849004,-0.63727835249004,0.836299136221348,-16.3700863778652,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.63727835249004,16.3700863778652,"conf","red","conf_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_fusion_blue_5x5.mnt",3.372555767,3.89294434849004,-0.52038858149004,0.86632519375935,-13.367480624065,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.52038858149004,13.367480624065,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_fusion_green_5x5.mnt",3.369228127,3.89294434849004,-0.52371622149004,0.865470406302321,-13.4529593697679,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.52371622149004,13.4529593697679,"fusion","green","fusion_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_fusion_red_5x5.mnt",3.482920692,3.89294434849004,-0.41002365649004,0.89467518161438,-10.532481838562,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.41002365649004,10.532481838562,"fusion","red","fusion_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_FV_blue_5x5.mnt",3.016621893,3.89294434849004,-0.87632245549004,0.774894687146006,-22.5105312853994,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.87632245549004,22.5105312853994,"FV","blue","FV_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_FV_green_5x5.mnt",2.859498933,3.89294434849004,-1.03344541549004,0.734533730005443,-26.5466269994557,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,1.03344541549004,26.5466269994557,"FV","green","FV_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_FV_red_5x5.mnt",2.926612928,3.89294434849004,-0.96633142049004,0.751773636100179,-24.8226363899821,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.96633142049004,24.8226363899821,"FV","red","FV_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_blue_5x5.mnt",3.101052648,3.89294434849004,-0.79189170049004,0.796582835612024,-20.3417164387976,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,0.79189170049004,20.3417164387976,"int","blue","int_blue"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_green_5x5.mnt",2.850636659,3.89294434849004,-1.04230768949004,0.732257233552717,-26.7742766447283,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,1.04230768949004,26.7742766447283,"int","green","int_green"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_red_5x5.mnt",2.770737928,3.89294434849004,-1.12220642049004,0.711733248659126,-28.8266751340874,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,1.12220642049004,28.8266751340874,"int","red","int_red"
"P3_MO58A\Mo_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_TF_x10_int_white_5x5.mnt",2.891012067,3.89294434849004,-1.00193228149004,0.742628665657997,-25.7371334342003,"MO58A_TF.xlsx","MO58A_TF.xlsx",20,0.252854722482244,0.0565400347902142,1.00193228149004,25.7371334342003,"int","white","int_white"
