"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_blue_5x5.mnt",2.693564833,3.43384163177732,-0.740276798777321,0.784417315019225,-21.5582684980775,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.740276798777321,21.5582684980775,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_green_5x5.mnt",2.826702322,3.43384163177732,-0.607139309777321,0.823189484291076,-17.6810515708924,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.607139309777321,17.6810515708924,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_red_5x5.mnt",2.984182424,3.43384163177732,-0.449659207777321,0.869050685501596,-13.0949314498404,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.449659207777321,13.0949314498404,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_blue_5x5.mnt",3.055641607,3.43384163177732,-0.378200024777321,0.889860958852209,-11.0139041147791,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.378200024777321,11.0139041147791,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_green_5x5.mnt",3.115413903,3.43384163177732,-0.318427728777321,0.907267788406274,-9.27322115937263,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.318427728777321,9.27322115937263,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_red_5x5.mnt",3.313430522,3.43384163177732,-0.120411109777321,0.964933994432644,-3.50660055673556,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.120411109777321,3.50660055673556,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_blue_5x5.mnt",2.84421621,3.43384163177732,-0.589625421777321,0.828289861617137,-17.1710138382863,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.589625421777321,17.1710138382863,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_green_5x5.mnt",2.336843283,3.43384163177732,-1.09699834877732,0.680533214279447,-31.9466785720553,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,1.09699834877732,31.9466785720553,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_red_5x5.mnt",2.433686309,3.43384163177732,-1.00015532277732,0.708735745550487,-29.1264254449513,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,1.00015532277732,29.1264254449513,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_blue_5x5.mnt",2.54748194,3.43384163177732,-0.886359691777321,0.741875197861542,-25.8124802138458,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.886359691777321,25.8124802138458,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_green_5x5.mnt",2.265119938,3.43384163177732,-1.16872169377732,0.659646011929676,-34.0353988070324,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,1.16872169377732,34.0353988070324,"int","green","int_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_red_5x5.mnt",2.558249793,3.43384163177732,-0.875591838777321,0.745011001475882,-25.4988998524118,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,0.875591838777321,25.4988998524118,"int","red","int_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_white_5x5.mnt",2.274996435,3.43384163177732,-1.15884519677732,0.662522235721886,-33.7477764278114,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.34427851014098,0.0769830151867583,1.15884519677732,33.7477764278114,"int","white","int_white"
