"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_blue_5x5.mnt",3.329212268,14.2120460055725,-10.8828337375725,0.23425284907568,-76.574715092432,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.8828337375725,76.574715092432,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_green_5x5.mnt",3.22075025,14.2120460055725,-10.9912957555725,0.226621152840144,-77.3378847159856,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.9912957555725,77.3378847159856,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_red_5x5.mnt",3.346911491,14.2120460055725,-10.8651345145725,0.235498216772426,-76.4501783227574,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.8651345145725,76.4501783227574,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_blue_5x5.mnt",3.547237608,14.2120460055725,-10.6648083975725,0.249593732430161,-75.0406267569839,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.6648083975725,75.0406267569839,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_green_5x5.mnt",3.524411261,14.2120460055725,-10.6876347445725,0.24798760569858,-75.201239430142,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.6876347445725,75.201239430142,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_red_5x5.mnt",3.841256935,14.2120460055725,-10.3707890705725,0.270281768965134,-72.9718231034866,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.3707890705725,72.9718231034866,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_blue_5x5.mnt",3.046083886,14.2120460055725,-11.1659621195725,0.214331130423138,-78.5668869576862,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,11.1659621195725,78.5668869576862,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_green_5x5.mnt",2.95578687,14.2120460055725,-11.2562591355725,0.207977575420249,-79.2022424579751,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,11.2562591355725,79.2022424579751,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_red_5x5.mnt",3.178172245,14.2120460055725,-11.0338737605725,0.223625243244628,-77.6374756755372,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,11.0338737605725,77.6374756755372,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_blue_5x5.mnt",4.233352931,14.2120460055725,-9.97869307457251,0.297870759026541,-70.2129240973459,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,9.97869307457251,70.2129240973459,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_green_5x5.mnt",2.953319404,14.2120460055725,-11.2587266015725,0.20780395749085,-79.219604250915,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,11.2587266015725,79.219604250915,"int","green","int_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_red_5x5.mnt",3.397370636,14.2120460055725,-10.8146753695725,0.239048665805606,-76.0951334194394,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,10.8146753695725,76.0951334194394,"int","red","int_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_white_5x5.mnt",2.996584502,14.2120460055725,-11.2154615035725,0.210848212905098,-78.9151787094902,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,10.0446592442868,2.24605408810469,11.2154615035725,78.9151787094902,"int","white","int_white"
