"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_blue_5x5.mnt",2.543958075,2.66625835074329,-0.122300275743295,0.954130373109117,-4.58696268908826,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.122300275743295,4.58696268908826,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_green_5x5.mnt",2.804443955,2.66625835074329,0.138185604256705,1.05182753734955,5.18275373495528,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.138185604256705,5.18275373495528,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_red_5x5.mnt",2.882256458,2.66625835074329,0.215998107256705,1.0810116946081,8.10116946080974,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.215998107256705,8.10116946080974,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_blue_5x5.mnt",2.705051338,2.66625835074329,0.0387929872567052,1.01454959803347,1.45495980334729,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.0387929872567052,1.45495980334729,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_green_5x5.mnt",2.864031437,2.66625835074329,0.197773086256705,1.07417626510258,7.4176265102581,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.197773086256705,7.4176265102581,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_red_5x5.mnt",2.954922016,2.66625835074329,0.288663665256705,1.10826545191175,10.8265451911752,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.288663665256705,10.8265451911752,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_blue_5x5.mnt",2.726491998,2.66625835074329,0.0602336472567053,1.02259107683241,2.25910768324133,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.0602336472567053,2.25910768324133,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_green_5x5.mnt",2.375648376,2.66625835074329,-0.290609974743295,0.891004570257687,-10.8995429742313,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.290609974743295,10.8995429742313,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_red_5x5.mnt",2.371470007,2.66625835074329,-0.294788343743295,0.889437441926393,-11.0562558073607,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.294788343743295,11.0562558073607,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_blue_5x5.mnt",2.710902928,2.66625835074329,0.044644577256705,1.01674428032987,1.67442803298709,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.044644577256705,1.67442803298709,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_green_5x5.mnt",2.141966036,2.66625835074329,-0.524292314743295,0.803360272796845,-19.6639727203155,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.524292314743295,19.6639727203155,"int","green","int_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_red_5x5.mnt",2.528201097,2.66625835074329,-0.138057253743295,0.948220601463918,-5.17793985360824,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.138057253743295,5.17793985360824,"int","red","int_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_white_5x5.mnt",2.147379793,2.66625835074329,-0.518878557743295,0.805390742574273,-19.4609257425727,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,1.67992695305041,0.375643086425482,0.518878557743295,19.4609257425727,"int","white","int_white"
