"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_blue_5x5.mnt",3.459551271,3.82115228975606,-0.361601018756063,0.905368592681987,-9.46314073180127,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.361601018756063,9.46314073180127,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_green_5x5.mnt",3.474525605,3.82115228975606,-0.346626684756063,0.909287393311877,-9.07126066881231,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.346626684756063,9.07126066881231,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_red_5x5.mnt",3.517851507,3.82115228975606,-0.303300782756063,0.920625832273378,-7.93741677266218,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.303300782756063,7.93741677266218,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_blue_5x5.mnt",3.888170766,3.82115228975606,0.0670184762439372,1.01753881320658,1.75388132065827,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.0670184762439372,1.75388132065827,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_green_5x5.mnt",3.554553438,3.82115228975606,-0.266598851756063,0.930230770317432,-6.97692296825683,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.266598851756063,6.97692296825683,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_red_5x5.mnt",3.697548551,3.82115228975606,-0.123603738756063,0.967652757759112,-3.23472422408879,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.123603738756063,3.23472422408879,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_blue_5x5.mnt",3.300230806,3.82115228975606,-0.520921483756063,0.863674241627957,-13.6325758372043,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.520921483756063,13.6325758372043,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_green_5x5.mnt",3.468206099,3.82115228975606,-0.352946190756063,0.907633571239163,-9.2366428760837,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.352946190756063,9.2366428760837,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_red_5x5.mnt",3.498115637,3.82115228975606,-0.323036652756063,0.915460932132416,-8.45390678675842,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.323036652756063,8.45390678675842,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_int_blue_5x5.mnt",3.317604933,3.82115228975606,-0.503547356756063,0.868221070878018,-13.1778929121982,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,0.186160587464475,0.0416267728301862,0.503547356756063,13.1778929121982,"int","blue","int_blue"
