"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,35.7844410460432,146.39320136252,170.026550209395,172.404480772983,282.391883698779,76.4684367656982,72.0537099165077,10.3791066201357,13.2722027997488,283.492007304205,41.7427898369221,297.728221927062
"conf_green",35.7844410460432,0,110.608760316477,134.242109163352,136.62003972694,246.607442652735,40.6839957196551,107.838150962551,25.4053344259075,49.056643845792,319.276448350249,5.95834879087892,333.512662973105
"conf_red",146.39320136252,110.608760316477,0,23.6333488468754,26.0112794104633,135.998682336258,69.9247645968218,218.446911279028,136.014094742384,159.665404162269,429.885208666725,104.650411525598,444.121423289582
"fusion_blue",170.026550209395,134.242109163352,23.6333488468754,0,2.37793056358794,112.365333489383,93.5581134436972,242.080260125903,159.64744358926,183.298753009144,453.518557513601,128.283760372473,467.754772136457
"fusion_green",172.404480772983,136.62003972694,26.0112794104633,2.37793056358794,0,109.987402925795,95.9360440072851,244.458190689491,162.025374152848,185.676683572732,455.896488077189,130.661690936061,470.132702700045
"fusion_red",282.391883698779,246.607442652735,135.998682336258,112.365333489383,109.987402925795,0,205.92344693308,354.445593615286,272.012777078643,295.664086498527,565.883891002984,240.649093861856,580.12010562584
"FV_blue",76.4684367656982,40.6839957196551,69.9247645968218,93.5581134436972,95.9360440072851,205.92344693308,0,148.522146682206,66.0893301455625,89.7406395654471,359.960444069904,34.7256469287761,374.19665869276
"FV_green",72.0537099165077,107.838150962551,218.446911279028,242.080260125903,244.458190689491,354.445593615286,148.522146682206,0,82.4328165366434,58.7815071167589,211.438297387698,113.79649975343,225.674512010554
"FV_red",10.3791066201357,25.4053344259075,136.014094742384,159.64744358926,162.025374152848,272.012777078643,66.0893301455625,82.4328165366434,0,23.6513094198845,293.871113924341,31.3636832167864,308.107328547198
"int_blue",13.2722027997488,49.056643845792,159.665404162269,183.298753009144,185.676683572732,295.664086498527,89.7406395654471,58.7815071167589,23.6513094198845,0,270.219804504457,55.0149926366709,284.456019127313
"int_green",283.492007304205,319.276448350249,429.885208666725,453.518557513601,455.896488077189,565.883891002984,359.960444069904,211.438297387698,293.871113924341,270.219804504457,0,325.234797141128,14.2362146228565
"int_red",41.7427898369221,5.95834879087892,104.650411525598,128.283760372473,130.661690936061,240.649093861856,34.7256469287761,113.79649975343,31.3636832167864,55.0149926366709,325.234797141128,0,339.471011763984
"int_white",297.728221927062,333.512662973105,444.121423289582,467.754772136457,470.132702700045,580.12010562584,374.19665869276,225.674512010554,308.107328547198,284.456019127313,14.2362146228565,339.471011763984,0
