"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_conf_blue_5x5.mnt",0.3952086237,1.62836102044543,-1.23315239674543,0.242703318697652,-75.7296681302348,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.23315239674543,75.7296681302348,"conf","blue","conf_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_conf_green_5x5.mnt",0.4690581784,1.62836102044543,-1.15930284204543,0.288055395892302,-71.1944604107698,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.15930284204543,71.1944604107698,"conf","green","conf_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_conf_red_5x5.mnt",0.5622031132,1.62836102044543,-1.06615790724543,0.345257044439821,-65.4742955560179,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.06615790724543,65.4742955560179,"conf","red","conf_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_fusion_blue_5x5.mnt",0.4697436393,1.62836102044543,-1.15861738114543,0.288476347322232,-71.1523652677767,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.15861738114543,71.1523652677767,"fusion","blue","fusion_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_fusion_green_5x5.mnt",0.5337543526,1.62836102044543,-1.09460666784543,0.327786250038087,-67.2213749961913,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.09460666784543,67.2213749961913,"fusion","green","fusion_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_fusion_red_5x5.mnt",0.6228426093,1.62836102044543,-1.00551841114543,0.382496634026296,-61.7503365973704,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.00551841114543,61.7503365973704,"fusion","red","fusion_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_FV_blue_5x5.mnt",0.5531148549,1.62836102044543,-1.07524616554543,0.339675813873694,-66.0324186126306,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.07524616554543,66.0324186126306,"FV","blue","FV_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_FV_green_5x5.mnt",0.4200599632,1.62836102044543,-1.20830105724543,0.25796488489088,-74.203511510912,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.20830105724543,74.203511510912,"FV","green","FV_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_FV_red_5x5.mnt",0.4259591753,1.62836102044543,-1.20240184514543,0.261587676167464,-73.8412323832536,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.20240184514543,73.8412323832536,"FV","red","FV_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_blue_5x5.mnt",0.8895484403,1.62836102044543,-0.738812580145427,0.546284533424087,-45.3715466575913,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,0.738812580145427,45.3715466575913,"int","blue","int_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_green_5x5.mnt",0.2324347852,1.62836102044543,-1.39592623524543,0.142741555638822,-85.7258444361178,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.39592623524543,85.7258444361178,"int","green","int_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_red_5x5.mnt",0.7418279217,1.62836102044543,-0.886533098745428,0.455567231336131,-54.4432768663869,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,0.886533098745428,54.4432768663869,"int","red","int_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_white_5x5.mnt",0.218607141,1.62836102044543,-1.40975387944543,0.13424979980189,-86.575020019811,"14301_MR.xlsx","14301_MR.xlsx",20,0.150047715578861,0.0335516891902886,1.40975387944543,86.575020019811,"int","white","int_white"
