"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_blue_5x5.mnt",2.258207671,3.36780898549096,-1.10960131449096,0.670527242111625,-32.9472757888376,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.10960131449096,32.9472757888376,"conf","blue","conf_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_green_5x5.mnt",2.278153064,3.36780898549096,-1.08965592149096,0.67644960679618,-32.355039320382,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.08965592149096,32.355039320382,"conf","green","conf_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_red_5x5.mnt",2.303603712,3.36780898549096,-1.06420527349096,0.684006641090478,-31.5993358909522,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.06420527349096,31.5993358909522,"conf","red","conf_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_blue_5x5.mnt",2.513509498,3.36780898549096,-0.854299487490958,0.746333746607538,-25.3666253392461,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,0.854299487490958,25.3666253392461,"fusion","blue","fusion_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_green_5x5.mnt",2.544063601,3.36780898549096,-0.823745384490958,0.755406144457782,-24.4593855542218,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,0.823745384490958,24.4593855542218,"fusion","green","fusion_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_red_5x5.mnt",2.612271412,3.36780898549096,-0.755537573490958,0.775659018446138,-22.4340981553862,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,0.755537573490958,22.4340981553862,"fusion","red","fusion_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_blue_5x5.mnt",2.406588435,3.36780898549096,-0.961220550490958,0.714585787189225,-28.5414212810775,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,0.961220550490958,28.5414212810775,"FV","blue","FV_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_green_5x5.mnt",1.974592364,3.36780898549096,-1.39321662149096,0.586313645609608,-41.3686354390392,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.39321662149096,41.3686354390392,"FV","green","FV_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_red_5x5.mnt",1.992613409,3.36780898549096,-1.37519557649096,0.591664615655011,-40.8335384344989,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.37519557649096,40.8335384344989,"FV","red","FV_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_blue_5x5.mnt",2.550130945,3.36780898549096,-0.817678040490958,0.757207714566461,-24.2792285433539,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,0.817678040490958,24.2792285433539,"int","blue","int_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_green_5x5.mnt",2.20345325,3.36780898549096,-1.16435573549096,0.654269069146385,-34.5730930853615,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.16435573549096,34.5730930853615,"int","green","int_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_red_5x5.mnt",2.439915516,3.36780898549096,-0.927893469490958,0.724481562497022,-27.5518437502978,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,0.927893469490958,27.5518437502978,"int","red","int_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_white_5x5.mnt",2.212866132,3.36780898549096,-1.15494285349096,0.657064026354633,-34.2935973645367,"14301_TR.xlsx","14301_TR.xlsx",20,0.209223947340025,0.0467838968773132,1.15494285349096,34.2935973645367,"int","white","int_white"
