"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_blue_5x5.mnt",4.210509826,3.68399354043749,0.526516285562515,1.14291998066316,14.2919980663155,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.526516285562515,14.2919980663155,"conf","blue","conf_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_green_5x5.mnt",4.355664319,3.68399354043749,0.671670778562514,1.18232137792586,18.2321377925856,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.671670778562514,18.2321377925856,"conf","green","conf_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_red_5x5.mnt",4.754904179,3.68399354043749,1.07091063856251,1.29069286544822,29.0692865448223,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,1.07091063856251,29.0692865448223,"conf","red","conf_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_blue_5x5.mnt",5.26562199,3.68399354043749,1.58162844956251,1.42932443615922,42.9324436159215,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,1.58162844956251,42.9324436159215,"fusion","blue","fusion_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_green_5x5.mnt",7.499940512,3.68399354043749,3.81594697156251,2.03581804085068,103.581804085068,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,3.81594697156251,103.581804085068,"fusion","green","fusion_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_red_5x5.mnt",7.454515005,3.68399354043749,3.77052146456251,2.02348753415967,102.348753415967,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,3.77052146456251,102.348753415967,"fusion","red","fusion_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_blue_5x5.mnt",3.433153127,3.68399354043749,-0.250840413437485,0.931910734727375,-6.80892652726251,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.250840413437485,6.80892652726251,"FV","blue","FV_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_green_5x5.mnt",3.088053385,3.68399354043749,-0.595940155437486,0.838235287631173,-16.1764712368827,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.595940155437486,16.1764712368827,"FV","green","FV_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_red_5x5.mnt",3.910467272,3.68399354043749,0.226473731562514,1.06147506206963,6.14750620696311,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.226473731562514,6.14750620696311,"FV","red","FV_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_blue_5x5.mnt",3.196408738,3.68399354043749,-0.487584802437485,0.867647758584402,-13.2352241415598,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.487584802437485,13.2352241415598,"int","blue","int_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_green_5x5.mnt",3.296875885,3.68399354043749,-0.387117655437486,0.89491901894282,-10.508098105718,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.387117655437486,10.508098105718,"int","green","int_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_red_5x5.mnt",3.162460832,3.68399354043749,-0.521532708437486,0.858432784229162,-14.1567215770838,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.521532708437486,14.1567215770838,"int","red","int_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_white_5x5.mnt",3.300566681,3.68399354043749,-0.383426859437486,0.895920865433452,-10.4079134566548,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.216023489227468,0.0483043206649313,0.383426859437486,10.4079134566548,"int","white","int_white"
