"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,3.94013972627005,14.7772884785067,28.640445549606,89.2898060187524,88.0567553496515,7.48307153905302,1.88447317056715,8.14449185935242,1.05677392475574,3.78389996059751,0.135276489231767,3.88408460966076
"conf_green",3.94013972627005,0,10.8371487522367,24.7003058233359,85.3496662924824,84.1166156233814,11.4232112653231,2.0556665557029,12.0846315856225,4.99691365102579,7.72403968686756,4.07541621550181,7.82422433593081
"conf_red",14.7772884785067,10.8371487522367,0,13.8631570710993,74.5125175402457,73.2794668711448,22.2603600175597,12.8928153079396,22.9217803378591,15.8340624032625,18.5611884391042,14.9125649677385,18.6613730881675
"fusion_blue",28.640445549606,24.7003058233359,13.8631570710993,0,60.6493604691464,59.4163098000455,36.123517088659,26.7559723790388,36.7849374089584,29.6972194743617,32.4243455102035,28.7757220388377,32.5245301592667
"fusion_green",89.2898060187524,85.3496662924824,74.5125175402457,60.6493604691464,0,1.23305066910093,96.7728775578054,87.4053328481853,97.4342978781048,90.3465799435081,93.0737059793499,89.4250825079842,93.1738906284132
"fusion_red",88.0567553496515,84.1166156233814,73.2794668711448,59.4163098000455,1.23305066910093,0,95.5398268887045,86.1722821790843,96.2012472090039,89.1135292744072,91.840655310249,88.1920318388833,91.9408399593122
"FV_blue",7.48307153905302,11.4232112653231,22.2603600175597,36.123517088659,96.7728775578054,95.5398268887045,0,9.36754470962017,0.6614203202994,6.42629761429728,3.69917157845551,7.34779504982125,3.59898692939226
"FV_green",1.88447317056715,2.0556665557029,12.8928153079396,26.7559723790388,87.4053328481853,86.1722821790843,9.36754470962017,0,10.0289650299196,2.94124709532289,5.66837313116466,2.01974965979892,5.76855778022791
"FV_red",8.14449185935242,12.0846315856225,22.9217803378591,36.7849374089584,97.4342978781048,96.2012472090039,0.6614203202994,10.0289650299196,0,7.08771793459668,4.36059189875491,8.00921537012065,4.26040724969166
"int_blue",1.05677392475574,4.99691365102579,15.8340624032625,29.6972194743617,90.3465799435081,89.1135292744072,6.42629761429728,2.94124709532289,7.08771793459668,0,2.72712603584177,0.921497435523973,2.82731068490502
"int_green",3.78389996059751,7.72403968686756,18.5611884391042,32.4243455102035,93.0737059793499,91.840655310249,3.69917157845551,5.66837313116466,4.36059189875491,2.72712603584177,0,3.64862347136575,0.100184649063245
"int_red",0.135276489231767,4.07541621550181,14.9125649677385,28.7757220388377,89.4250825079842,88.1920318388833,7.34779504982125,2.01974965979892,8.00921537012065,0.921497435523973,3.64862347136575,0,3.74880812042899
"int_white",3.88408460966076,7.82422433593081,18.6613730881675,32.5245301592667,93.1738906284132,91.9408399593122,3.59898692939226,5.76855778022791,4.26040724969166,2.82731068490502,0.100184649063245,3.74880812042899,0
