"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,3.15097015335819,9.39102934191945,24.9693553427102,18.4973150800774,25.4567728846206,46.1841270254903,44.3959639512125,3.80381291198726,10.1394143327583,23.9345023278838,14.5637535300944,24.3781638584146
"conf_green",3.15097015335819,0,6.24005918856125,21.818385189352,15.3463449267192,22.3058027312624,43.0331568721321,41.2449937978543,0.652842758629063,13.2903844861165,27.085472481242,17.7147236834526,27.5291340117727
"conf_red",9.39102934191945,6.24005918856125,0,15.5783260007907,9.10628573815796,16.0657435427012,36.7930976835709,35.004934609293,5.58721642993219,19.5304436746778,33.3255316698032,23.9547828720138,33.769193200334
"fusion_blue",24.9693553427102,21.818385189352,15.5783260007907,0,6.47204026263276,0.487417541910457,21.2147716827802,19.4266086085023,21.1655424307229,35.1087696754685,48.903857670594,39.5331088728046,49.3475192011247
"fusion_green",18.4973150800774,15.3463449267192,9.10628573815796,6.47204026263276,0,6.95945780454322,27.6868119454129,25.898648871135,14.6935021680902,28.6367294128357,42.4318174079612,33.0610686101718,42.875478938492
"fusion_red",25.4567728846206,22.3058027312624,16.0657435427012,0.487417541910457,6.95945780454322,0,20.7273541408697,18.9391910665918,21.6529599726334,35.596187217379,49.3912752125044,40.020526414715,49.8349367430352
"FV_blue",46.1841270254903,43.0331568721321,36.7930976835709,21.2147716827802,27.6868119454129,20.7273541408697,0,1.78816307427788,42.3803141135031,56.3235413582487,70.1186293533741,60.7478805555847,70.5622908839049
"FV_green",44.3959639512125,41.2449937978543,35.004934609293,19.4266086085023,25.898648871135,18.9391910665918,1.78816307427788,0,40.5921510392252,54.5353782839708,68.3304662790962,58.9597174813068,68.774127809627
"FV_red",3.80381291198726,0.652842758629063,5.58721642993219,21.1655424307229,14.6935021680902,21.6529599726334,42.3803141135031,40.5921510392252,0,13.9432272447456,27.738315239871,18.3675664420816,28.1819767704018
"int_blue",10.1394143327583,13.2903844861165,19.5304436746778,35.1087696754685,28.6367294128357,35.596187217379,56.3235413582487,54.5353782839708,13.9432272447456,0,13.7950879951254,4.42433919733606,14.2387495256562
"int_green",23.9345023278838,27.085472481242,33.3255316698032,48.903857670594,42.4318174079612,49.3912752125044,70.1186293533741,68.3304662790962,27.738315239871,13.7950879951254,0,9.37074879778939,0.443661530530775
"int_red",14.5637535300944,17.7147236834526,23.9547828720138,39.5331088728046,33.0610686101718,40.020526414715,60.7478805555847,58.9597174813068,18.3675664420816,4.42433919733606,9.37074879778939,0,9.81441032832016
"int_white",24.3781638584146,27.5291340117727,33.769193200334,49.3475192011247,42.875478938492,49.8349367430352,70.5622908839049,68.774127809627,28.1819767704018,14.2387495256562,0.443661530530775,9.81441032832016,0
