"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_conf_green_5x5.mnt",1.497674786,1.17632185255952,0.321352933440479,1.27318453086735,27.3184530867346,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.321352933440479,27.3184530867346,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_conf_red_5x5.mnt",1.655413096,1.17632185255952,0.479091243440479,1.40727904731009,40.7279047310088,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.479091243440479,40.7279047310088,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_blue_5x5.mnt",2.043031146,1.17632185255952,0.86670929344048,1.73679604910394,73.6796049103938,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.86670929344048,73.6796049103938,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_green_5x5.mnt",1.897543263,1.17632185255952,0.721221410440479,1.61311571222723,61.3115712227225,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.721221410440479,61.3115712227225,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_red_5x5.mnt",2.061241455,1.17632185255952,0.884919602440479,1.75227676890896,75.2276768908961,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.884919602440479,75.2276768908961,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_blue_5x5.mnt",1.602806583,1.17632185255952,0.42648473044048,1.36255785736914,36.2557857369142,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.42648473044048,36.2557857369142,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_green_5x5.mnt",1.463264696,1.17632185255952,0.286942843440479,1.24393225613902,24.3932256139023,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.286942843440479,24.3932256139023,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_red_5x5.mnt",1.999794539,1.17632185255952,0.82347268644048,1.7000402862947,70.0040286294701,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.82347268644048,70.0040286294701,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_blue_5x5.mnt",1.332703679,1.17632185255952,0.156381826440479,1.13294135962893,13.2941359628926,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.156381826440479,13.2941359628926,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_green_5x5.mnt",1.638527031,1.17632185255952,0.462205178440479,1.39292407722834,39.2924077228339,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.462205178440479,39.2924077228339,"int","green","int_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_red_5x5.mnt",1.815880037,1.17632185255952,0.639558184440479,1.54369319336276,54.3693193362757,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.639558184440479,54.3693193362757,"int","red","int_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_white_5x5.mnt",1.358280632,1.17632185255952,0.18195877944048,1.15468451856485,15.4684518564848,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,0.18195877944048,15.4684518564848,"int","white","int_white"
NA,NA,1.17632185255952,NA,NA,NA,"C45_MF.xlsx","C45_MF.xlsx",20,0.0723776425809285,0.0161841328862139,NA,NA,"other","unknown","other_unknown"
