"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_conf_green_5x5.mnt",2.57834256,3.80704717546575,-1.22870461546575,0.677255216750648,-32.2744783249352,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.22870461546575,32.2744783249352,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_conf_red_5x5.mnt",2.711583688,3.80704717546575,-1.09546348746575,0.712253765982889,-28.7746234017111,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.09546348746575,28.7746234017111,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_fusion_blue_5x5.mnt",3.051286055,3.80704717546575,-0.75576112046575,0.801483647133085,-19.8516352866915,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,0.75576112046575,19.8516352866915,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_fusion_green_5x5.mnt",2.883569845,3.80704717546575,-0.92347733046575,0.757429501683868,-24.2570498316132,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,0.92347733046575,24.2570498316132,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_fusion_red_5x5.mnt",3.022095262,3.80704717546575,-0.78495191346575,0.793816079158588,-20.6183920841412,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,0.78495191346575,20.6183920841412,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_FV_blue_5x5.mnt",2.352667334,3.80704717546575,-1.45437984146575,0.617976932138273,-38.2023067861727,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.45437984146575,38.2023067861727,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_FV_green_5x5.mnt",2.177668359,3.80704717546575,-1.62937881646575,0.572009817223656,-42.7990182776344,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.62937881646575,42.7990182776344,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_FV_red_5x5.mnt",2.296004551,3.80704717546575,-1.51104262446575,0.603093275490895,-39.6906724509105,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.51104262446575,39.6906724509105,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_blue_5x5.mnt",2.639292984,3.80704717546575,-1.16775419146575,0.693265111346331,-30.6734888653669,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.16775419146575,30.6734888653669,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_green_5x5.mnt",2.280080527,3.80704717546575,-1.52696664846575,0.598910499899717,-40.1089500100283,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.52696664846575,40.1089500100283,"int","green","int_green"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_red_5x5.mnt",2.275990185,3.80704717546575,-1.53105699046575,0.597836086630988,-40.2163913369012,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.53105699046575,40.2163913369012,"int","red","int_red"
"C45_5x5\C45_5x5\C45_MR\C45_5x5 --- C45_MR_x10_int_white_5x5.mnt",2.278501163,3.80704717546575,-1.52854601246575,0.598495647147123,-40.1504352852877,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,1.52854601246575,40.1504352852877,"int","white","int_white"
NA,NA,3.80704717546575,NA,NA,NA,"C45_MR.xlsx","C45_MR.xlsx",20,0.413091662055065,0.0923701037293495,NA,NA,"other","unknown","other_unknown"
