"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_conf_green_5x5.mnt",0.7395868152,3.7787787612581,-3.0391919460581,0.195721121009414,-80.4278878990586,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.0391919460581,80.4278878990586,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_conf_red_5x5.mnt",0.7975296482,3.7787787612581,-2.9812491130581,0.211054866820113,-78.8945133179887,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,2.9812491130581,78.8945133179887,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_blue_5x5.mnt",0.8611181122,3.7787787612581,-2.9176606490581,0.227882648497077,-77.2117351502923,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,2.9176606490581,77.2117351502923,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_green_5x5.mnt",0.9103598583,3.7787787612581,-2.8684189029581,0.240913775538663,-75.9086224461337,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,2.8684189029581,75.9086224461337,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_red_5x5.mnt",0.971302352,3.7787787612581,-2.8074764092581,0.257041338846897,-74.2958661153103,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,2.8074764092581,74.2958661153103,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_blue_5x5.mnt",0.8569768636,3.7787787612581,-2.9218018976581,0.226786726014804,-77.3213273985196,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,2.9218018976581,77.3213273985196,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_green_5x5.mnt",0.6223679937,3.7787787612581,-3.1564107675581,0.16470082876532,-83.5299171234679,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.1564107675581,83.5299171234679,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_red_5x5.mnt",0.657663683,3.7787787612581,-3.1211150782581,0.174041330427357,-82.5958669572643,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.1211150782581,82.5958669572643,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_blue_5x5.mnt",0.7643186815,3.7787787612581,-3.0144600797581,0.202266057313588,-79.7733942686412,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.0144600797581,79.7733942686412,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_green_5x5.mnt",0.4257142751,3.7787787612581,-3.3530644861581,0.112659221932925,-88.7340778067075,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.3530644861581,88.7340778067075,"int","green","int_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_red_5x5.mnt",0.6017847436,3.7787787612581,-3.1769940176581,0.159253764673866,-84.0746235326134,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.1769940176581,84.0746235326134,"int","red","int_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_white_5x5.mnt",0.4073261149,3.7787787612581,-3.3714526463581,0.107793057131608,-89.2206942868392,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,3.3714526463581,89.2206942868392,"int","white","int_white"
NA,NA,3.7787787612581,NA,NA,NA,"C45_TR.xlsx","C45_TR.xlsx",20,0.255719459850305,0.0571806095394811,NA,NA,"other","unknown","other_unknown"
