"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,1.53337458106991,3.21615274876631,4.51926545292487,6.13202178374827,3.10656050053898,3.10202922440935,2.1679790582057,0.654493630417406,8.30618990764891,3.6467356335548,8.79280638778064
"conf_red",1.53337458106991,0,1.6827781676964,2.98589087185496,4.59864720267836,1.57318591946907,4.63540380547926,3.70135363927561,0.878880950652501,9.83956448871882,5.1801102146247,10.3261809688506
"fusion_blue",3.21615274876631,1.6827781676964,0,1.30311270415856,2.91586903498197,0.109592248227329,6.31818197317565,5.38413180697201,2.5616591183489,11.5223426564152,6.8628883823211,12.0089591365469
"fusion_green",4.51926545292487,2.98589087185496,1.30311270415856,0,1.6127563308234,1.41270495238589,7.62129467733422,6.68724451113057,3.86477182250746,12.8254553605738,8.16600108647967,13.3120718407055
"fusion_red",6.13202178374827,4.59864720267836,2.91586903498197,1.6127563308234,0,3.0254612832093,9.23405100815762,8.30000084195397,5.47752815333087,14.4382116913972,9.77875741730307,14.9248281715289
"FV_blue",3.10656050053898,1.57318591946907,0.109592248227329,1.41270495238589,3.0254612832093,0,6.20858972494833,5.27453955874468,2.45206687012157,11.4127504081879,6.75329613409377,11.8993668883196
"FV_green",3.10202922440935,4.63540380547926,6.31818197317565,7.62129467733422,9.23405100815762,6.20858972494833,0,0.934050166203647,3.75652285482676,5.20416068323956,0.544706409145448,5.69077716337129
"FV_red",2.1679790582057,3.70135363927561,5.38413180697201,6.68724451113057,8.30000084195397,5.27453955874468,0.934050166203647,0,2.82247268862311,6.13821084944321,1.4787565753491,6.62482732957494
"int_blue",0.654493630417406,0.878880950652501,2.5616591183489,3.86477182250746,5.47752815333087,2.45206687012157,3.75652285482676,2.82247268862311,0,8.96068353806632,4.3012292639722,9.44730001819805
"int_green",8.30618990764891,9.83956448871882,11.5223426564152,12.8254553605738,14.4382116913972,11.4127504081879,5.20416068323956,6.13821084944321,8.96068353806632,0,4.65945427409412,0.48661648013173
"int_red",3.6467356335548,5.1801102146247,6.8628883823211,8.16600108647967,9.77875741730307,6.75329613409377,0.544706409145448,1.4787565753491,4.3012292639722,4.65945427409412,0,5.14607075422585
"int_white",8.79280638778064,10.3261809688506,12.0089591365469,13.3120718407055,14.9248281715289,11.8993668883196,5.69077716337129,6.62482732957494,9.44730001819805,0.48661648013173,5.14607075422585,0
