"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_blue_5x5.mnt",5.913885261,6.97999030348618,-1.06610504248618,0.847262675715508,-15.2737324284492,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.06610504248618,15.2737324284492,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_green_5x5.mnt",6.011692623,6.97999030348618,-0.96829768048618,0.861275211227362,-13.8724788772638,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,0.96829768048618,13.8724788772638,"conf","green","conf_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_conf_red_5x5.mnt",6.280044068,6.97999030348618,-0.699946235486181,0.899721030395044,-10.0278969604956,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,0.699946235486181,10.0278969604956,"conf","red","conf_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_blue_5x5.mnt",6.635013423,6.97999030348618,-0.34497688048618,0.950576309495175,-4.94236905048249,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,0.34497688048618,4.94236905048249,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_green_5x5.mnt",6.563362583,6.97999030348618,-0.41662772048618,0.940311131911158,-5.96888680888416,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,0.41662772048618,5.96888680888416,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_fusion_red_5x5.mnt",6.94220759,6.97999030348618,-0.0377827134861803,0.994586996278876,-0.541300372112403,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,0.0377827134861803,0.541300372112403,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_blue_5x5.mnt",5.276981913,6.97999030348618,-1.70300839048618,0.756015650962207,-24.3984349037793,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.70300839048618,24.3984349037793,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_green_5x5.mnt",5.018178101,6.97999030348618,-1.96181220248618,0.718937689425393,-28.1062310574607,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.96181220248618,28.1062310574607,"FV","green","FV_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_FV_red_5x5.mnt",5.075732593,6.97999030348618,-1.90425771048618,0.727183330106477,-27.2816669893523,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.90425771048618,27.2816669893523,"FV","red","FV_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_blue_5x5.mnt",3.268228619,6.97999030348618,-3.71176168448618,0.468228246301098,-53.1771753698902,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,3.71176168448618,53.1771753698902,"int","blue","int_blue"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_green_5x5.mnt",5.453960089,6.97999030348618,-1.52603021448618,0.781370725726653,-21.8629274273347,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.52603021448618,21.8629274273347,"int","green","int_green"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_red_5x5.mnt",5.372656835,6.97999030348618,-1.60733346848618,0.769722678886331,-23.0277321113669,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.60733346848618,23.0277321113669,"int","red","int_red"
"P3_ELLOR\ELLOR_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TR_x10_int_white_5x5.mnt",5.46790162,6.97999030348618,-1.51208868348618,0.783368082512814,-21.6631917487187,"ELLOR_TR.xlsx","ELLOR_TR.xlsx",20,0.336397714382758,0.0752208156835404,1.51208868348618,21.6631917487187,"int","white","int_white"
