"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_blue_5x5.mnt",0.2565682879,0.0450868148815673,0.211481473018433,5.69053920916671,469.053920916671,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.211481473018433,469.053920916671,"conf","blue","conf_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_green_5x5.mnt",0.2294652693,0.0450868148815673,0.184378454418433,5.08940961792826,408.940961792826,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.184378454418433,408.940961792826,"conf","green","conf_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_red_5x5.mnt",0.2692057219,0.0450868148815673,0.224118907018433,5.97083033270683,497.083033270683,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.224118907018433,497.083033270683,"conf","red","conf_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_blue_5x5.mnt",0.3393147588,0.0450868148815673,0.294227943918433,7.5258090351093,652.58090351093,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.294227943918433,652.58090351093,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_green_5x5.mnt",0.2866585517,0.0450868148815673,0.241571736818433,6.35792420584567,535.792420584567,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.241571736818433,535.792420584567,"fusion","green","fusion_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_red_5x5.mnt",0.3278101588,0.0450868148815673,0.282723343918433,7.27064352762735,627.064352762735,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.282723343918433,627.064352762735,"fusion","red","fusion_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_blue_5x5.mnt",0.1912377624,0.0450868148815673,0.146150947518433,4.24154518127611,324.154518127611,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.146150947518433,324.154518127611,"FV","blue","FV_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_blue_5x5_mocniejsze_swiatlo.mnt",0.3695126589,0.0450868148815673,0.324425844018433,8.19558134391672,719.558134391672,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.324425844018433,719.558134391672,"FV","blue","FV_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_green_5x5.mnt",0.2183270151,0.0450868148815673,0.173240200218433,4.84236945265472,384.236945265472,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.173240200218433,384.236945265472,"FV","green","FV_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_red_5x5.mnt",0.2440668161,0.0450868148815673,0.198980001218433,5.41326365016263,441.326365016263,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.198980001218433,441.326365016263,"FV","red","FV_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_blue_5x5.mnt",0.1889158296,0.0450868148815673,0.143829014718433,4.19004602778525,319.004602778525,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.143829014718433,319.004602778525,"int","blue","int_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_green_5x5.mnt",0.08091330884,0.0450868148815673,0.0358264939584327,1.79461133044196,79.4611330441961,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.0358264939584327,79.4611330441961,"int","green","int_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_red_5x5.mnt",0.6407435815,0.0450868148815673,0.595656766618433,14.2113294803167,1321.13294803167,"MO58A_B.xlsx","MO58A_B.xlsx",20,0.00290098142559768,0.000648679166910066,0.595656766618433,1321.13294803167,"int","red","int_red"
