"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_blue_5x5.mnt",2.287902218,1.398528210915,0.889374007084999,1.63593569306916,63.5935693069157,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.889374007084999,63.5935693069157,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_green_5x5.mnt",2.300425496,1.398528210915,0.901897285084999,1.64489030542682,64.489030542682,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.901897285084999,64.489030542682,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_red_5x5.mnt",2.423518154,1.398528210915,1.024989943085,1.73290616169579,73.2906161695794,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,1.024989943085,73.2906161695794,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_blue_5x5.mnt",2.866946508,1.398528210915,1.468418297085,2.04997402671218,104.997402671218,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,1.468418297085,104.997402671218,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_green_5x5.mnt",2.78946108,1.398528210915,1.390932869085,1.99456904639411,99.4569046394114,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,1.390932869085,99.4569046394114,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_red_5x5.mnt",2.865145369,1.398528210915,1.466617158085,2.04868614493336,104.868614493336,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,1.466617158085,104.868614493336,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_blue_5x5.mnt",2.166625639,1.398528210915,0.768097428084999,1.54921840123802,54.9218401238015,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.768097428084999,54.9218401238015,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_green_5x5.mnt",1.70079427,1.398528210915,0.302266059084999,1.21613154223556,21.6131542235561,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.302266059084999,21.6131542235561,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_red_5x5.mnt",1.814466992,1.398528210915,0.415938781084999,1.29741179179565,29.7411791795653,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.415938781084999,29.7411791795653,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_blue_5x5.mnt",1.638542428,1.398528210915,0.240014217084999,1.17161914590766,17.1619145907659,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.240014217084999,17.1619145907659,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_green_5x5.mnt",1.3808848,1.398528210915,-0.0176434109150012,0.987384301026393,-1.26156989736073,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.0176434109150012,1.26156989736073,"int","green","int_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_red_5x5.mnt",1.614207729,1.398528210915,0.215679518084999,1.15421892558312,15.4218925583123,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.215679518084999,15.4218925583123,"int","red","int_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_white_5x5.mnt",1.364499457,1.398528210915,-0.0340287539150013,0.975668167685557,-2.43318323144426,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0787953477896503,0.0176191753968396,0.0340287539150013,2.43318323144426,"int","white","int_white"
