"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_blue_5x5.mnt",1.188792044,1.47732859782488,-0.288536553824881,0.804690334804523,-19.5309665195477,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.288536553824881,19.5309665195477,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_green_5x5.mnt",1.319018945,1.47732859782488,-0.15830965282488,0.892840595478917,-10.7159404521083,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.15830965282488,10.7159404521083,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_conf_red_5x5.mnt",1.465638164,1.47732859782488,-0.0116904338248804,0.992086774843395,-0.791322515660541,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.0116904338248804,0.791322515660541,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_blue_5x5.mnt",1.383621843,1.47732859782488,-0.0937067548248804,0.936570134117184,-6.34298658828158,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.0937067548248804,6.34298658828158,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_green_5x5.mnt",1.490243408,1.47732859782488,0.0129148101751195,1.00874200241851,0.87420024185103,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.0129148101751195,0.87420024185103,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_fusion_red_5x5.mnt",1.623299408,1.47732859782488,0.14597081017512,1.0988072730671,9.88072730671005,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.14597081017512,9.88072730671005,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_blue_5x5.mnt",1.282894876,1.47732859782488,-0.19443372182488,0.868388304327723,-13.1611695672277,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.19443372182488,13.1611695672277,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_green_5x5.mnt",1.094946124,1.47732859782488,-0.38238247382488,0.741166268365836,-25.8833731634164,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.38238247382488,25.8833731634164,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_FV_red_5x5.mnt",1.21878956,1.47732859782488,-0.25853903782488,0.824995577689665,-17.5004422310335,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.25853903782488,17.5004422310335,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_blue_5x5.mnt",1.429422888,1.47732859782488,-0.0479057098248805,0.96757274590405,-3.24272540959497,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.0479057098248805,3.24272540959497,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_green_5x5.mnt",0.9796573234,1.47732859782488,-0.49767127442488,0.663127570157636,-33.6872429842364,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.49767127442488,33.6872429842364,"int","green","int_green"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_red_5x5.mnt",1.218856105,1.47732859782488,-0.25847249282488,0.825040621832246,-17.4959378167754,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.25847249282488,17.4959378167754,"int","red","int_red"
"P3_Ti6Al4V\Ti_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TF_x10_int_white_5x5.mnt",0.9742623945,1.47732859782488,-0.503066203324881,0.659475756398704,-34.0524243601296,"Ti6Al4V_TF.xlsx","Ti6Al4V_TF.xlsx",20,0.115984350633838,0.0259348892343432,0.503066203324881,34.0524243601296,"int","white","int_white"
