"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_conf_blue_5x5.mnt",1.158228898,0.782054133084969,0.376174764915031,1.48100860157996,48.1008601579963,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.376174764915031,48.1008601579963,"conf","blue","conf_blue"
"C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_conf_green_5x5.mnt",1.238486754,0.782054133084969,0.456432620915031,1.5836330269294,58.3633026929403,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.456432620915031,58.3633026929403,"conf","green","conf_green"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_conf_red_5x5.mnt",1.417003073,0.782054133084969,0.634948939915031,1.81189896332412,81.1898963324122,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.634948939915031,81.1898963324122,"conf","red","conf_red"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_fusion_blue_5x5.mnt",1.572253843,0.782054133084969,0.790199709915031,2.01041561764776,101.041561764776,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.790199709915031,101.041561764776,"fusion","blue","fusion_blue"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_fusion_green_5x5.mnt",1.602436752,0.782054133084969,0.820382618915031,2.04901001632568,104.901001632568,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.820382618915031,104.901001632568,"fusion","green","fusion_green"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_fusion_red_5x5.mnt",1.820670505,0.782054133084969,1.03861637191503,2.32806199465758,132.806199465758,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,1.03861637191503,132.806199465758,"fusion","red","fusion_red"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_FV_blue_5x5.mnt",1.038221855,0.782054133084969,0.256167721915031,1.32755753224464,32.7557532244636,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.256167721915031,32.7557532244636,"FV","blue","FV_blue"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_FV_green_5x5.mnt",0.7956486294,0.782054133084969,0.013594496315031,1.0173830630642,1.73830630641958,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.013594496315031,1.73830630641958,"FV","green","FV_green"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_FV_red_5x5.mnt",0.9679880256,0.782054133084969,0.185933892515031,1.23775066795131,23.7750667951306,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.185933892515031,23.7750667951306,"FV","red","FV_red"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_int_blue_5x5.mnt",0.6097233018,0.782054133084969,-0.172330831284969,0.779643346931528,-22.0356653068472,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.172330831284969,22.0356653068472,"int","blue","int_blue"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_int_green_5x5.mnt",0.6997994081,0.782054133084969,-0.0822547249849691,0.894822210502873,-10.5177789497127,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.0822547249849691,10.5177789497127,"int","green","int_green"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_int_red_5x5.mnt",0.6476338635,0.782054133084969,-0.134420269584969,0.828118970416125,-17.1881029583875,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.134420269584969,17.1881029583875,"int","red","int_red"
"P3_1_4301\AU_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_F_x10_int_white_5x5.mnt",0.7012110578,0.782054133084969,-0.080843075284969,0.896627264194529,-10.3372735805471,"14301_WEDM_F.xlsx","14301_WEDM_F.xlsx",20,0.0117650026621916,0.00263073457081263,0.080843075284969,10.3372735805471,"int","white","int_white"
