"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,10.2624425349441,33.0890361744159,52.9407016067795,56.800141474572,84.705339307762,15.3451069335326,46.3625538515767,24.3257933628657,26.0651948511491,37.5830812082835,30.9127571996088,37.7635865774492
"conf_green",10.2624425349441,0,22.8265936394718,42.6782590718355,46.5376989396279,74.442896772818,25.6075494684767,56.6249963865208,34.5882358978097,36.3276373860931,47.8455237432276,41.1751997345528,48.0260291123932
"conf_red",33.0890361744159,22.8265936394718,0,19.8516654323636,23.7111053001561,51.6163031333462,48.4341431079485,79.4515900259926,57.4148295372816,59.154231025565,70.6721173826995,64.0017933740247,70.8526227518651
"fusion_blue",52.9407016067795,42.6782590718355,19.8516654323636,0,3.85943986779247,31.7646377009825,68.2858085403122,99.3032554583562,77.2664949696452,79.0058964579286,90.5237828150631,83.8534588063883,90.7042881842287
"fusion_green",56.800141474572,46.5376989396279,23.7111053001561,3.85943986779247,0,27.90519783319,72.1452484081046,103.162695326149,81.1259348374377,82.8653363257211,94.3832226828556,87.7128986741808,94.5637280520212
"fusion_red",84.705339307762,74.442896772818,51.6163031333462,31.7646377009825,27.90519783319,0,100.050446241295,131.067893159339,109.031132670628,110.770534158911,122.288420516046,115.618096507371,122.468925885211
"FV_blue",15.3451069335326,25.6075494684767,48.4341431079485,68.2858085403122,72.1452484081046,100.050446241295,0,31.0174469180441,8.98068642933304,10.7200879176164,22.2379742747509,15.5676502660762,22.4184796439165
"FV_green",46.3625538515767,56.6249963865208,79.4515900259926,99.3032554583562,103.162695326149,131.067893159339,31.0174469180441,0,22.036760488711,20.2973590004276,8.77947264329314,15.4497966519679,8.59896727412751
"FV_red",24.3257933628657,34.5882358978097,57.4148295372816,77.2664949696452,81.1259348374377,109.031132670628,8.98068642933304,22.036760488711,0,1.73940148828341,13.2572878454179,6.58696383674312,13.4377932145835
"int_blue",26.0651948511491,36.3276373860931,59.154231025565,79.0058964579286,82.8653363257211,110.770534158911,10.7200879176164,20.2973590004276,1.73940148828341,0,11.5178863571345,4.84756234845971,11.6983917263001
"int_green",37.5830812082835,47.8455237432276,70.6721173826995,90.5237828150631,94.3832226828556,122.288420516046,22.2379742747509,8.77947264329314,13.2572878454179,11.5178863571345,0,6.67032400867477,0.180505369165628
"int_red",30.9127571996088,41.1751997345528,64.0017933740247,83.8534588063883,87.7128986741808,115.618096507371,15.5676502660762,15.4497966519679,6.58696383674312,4.84756234845971,6.67032400867477,0,6.85082937784039
"int_white",37.7635865774492,48.0260291123932,70.8526227518651,90.7042881842287,94.5637280520212,122.468925885211,22.4184796439165,8.59896727412751,13.4377932145835,11.6983917263001,0.180505369165628,6.85082937784039,0
