"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_blue_5x5.mnt",0.08732785053,0.0394111512159506,0.0479166993140494,2.21581577385277,121.581577385277,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0479166993140494,121.581577385277,"conf","blue","conf_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_green_5x5.mnt",0.08612064065,0.0394111512159506,0.0467094894340494,2.18518459859516,118.518459859516,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0467094894340494,118.518459859516,"conf","green","conf_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_red_5x5.mnt",0.09940092164,0.0394111512159506,0.0599897704240494,2.52215219736515,152.215219736515,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0599897704240494,152.215219736515,"conf","red","conf_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_blue_5x5.mnt",0.1005012327,0.0394111512159506,0.0610900814840494,2.5500709722817,155.00709722817,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0610900814840494,155.00709722817,"fusion","blue","fusion_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_green_5x5.mnt",0.09787883158,0.0394111512159506,0.0584676803640494,2.48353140063532,148.353140063532,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0584676803640494,148.353140063532,"fusion","green","fusion_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_red_5x5.mnt",0.1137138435,0.0394111512159506,0.0743026922840494,2.8853215395032,188.53215395032,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0743026922840494,188.53215395032,"fusion","red","fusion_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_blue_5x5.mnt",0.1661327794,0.0394111512159506,0.126721628184049,4.21537494527088,321.537494527088,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.126721628184049,321.537494527088,"FV","blue","FV_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_green_5x5.mnt",0.08331655531,0.0394111512159506,0.0439054040940494,2.11403505706984,111.403505706984,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0439054040940494,111.403505706984,"FV","green","FV_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_red_5x5.mnt",0.08698538721,0.0394111512159506,0.0475742359940494,2.20712627076966,120.712627076966,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0475742359940494,120.712627076966,"FV","red","FV_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_blue_5x5.mnt",0.148653347,0.0394111512159506,0.109242195784049,3.7718600551774,277.18600551774,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.109242195784049,277.18600551774,"int","blue","int_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_green_5x5.mnt",0.05355727392,0.0394111512159506,0.0141461227040494,1.35893705886785,35.8937058867851,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.0141461227040494,35.8937058867851,"int","green","int_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_red_5x5.mnt",0.3568777567,0.0394111512159506,0.317466605484049,9.05524821501696,805.524821501696,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.317466605484049,805.524821501696,"int","red","int_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_white_5x5.mnt",0.04255710615,0.0394111512159506,0.00314595493404944,1.07982397968563,7.98239796856328,"Al7075_B.xlsx","Al7075_B.xlsx",20,0.00181366829925244,0.000405548560576488,0.00314595493404944,7.98239796856328,"int","white","int_white"
