"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_conf_blue_5x5.mnt",0.1383709905,0.103325853184088,0.0350451373159118,1.33917104225091,33.9171042250911,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0350451373159118,33.9171042250911,"conf","blue","conf_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_conf_green_5x5.mnt",0.1556084181,0.103325853184088,0.0522825649159118,1.5059969340177,50.5996934017701,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0522825649159118,50.5996934017701,"conf","green","conf_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_conf_red_5x5.mnt",0.1863147613,0.103325853184088,0.0829889081159118,1.80317660642063,80.3176606420626,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0829889081159118,80.3176606420626,"conf","red","conf_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_fusion_blue_5x5.mnt",0.1651568931,0.103325853184088,0.0618310399159118,1.59840822031009,59.8408220310089,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0618310399159118,59.8408220310089,"fusion","blue","fusion_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_fusion_green_5x5.mnt",0.1820002754,0.103325853184088,0.0786744222159118,1.76142049440176,76.1420494401757,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0786744222159118,76.1420494401757,"fusion","green","fusion_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_fusion_red_5x5.mnt",0.2127906206,0.103325853184088,0.109464767415912,2.05941314823587,105.941314823587,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.109464767415912,105.941314823587,"fusion","red","fusion_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_FV_blue_5x5.mnt",0.24011665,0.103325853184088,0.136790796815912,2.32387773824816,132.387773824816,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.136790796815912,132.387773824816,"FV","blue","FV_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_FV_green_5x5.mnt",0.133929472,0.103325853184088,0.0306036188159118,1.29618549349297,29.6185493492974,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0306036188159118,29.6185493492974,"FV","green","FV_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_FV_red_5x5.mnt",0.1426178123,0.103325853184088,0.0392919591159118,1.38027229299436,38.027229299436,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0392919591159118,38.027229299436,"FV","red","FV_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_blue_5x5.mnt",0.1521978264,0.103325853184088,0.0488719732159118,1.47298881847934,47.2988818479342,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0488719732159118,47.2988818479342,"int","blue","int_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_green_5x5.mnt",0.0567298206,0.103325853184088,-0.0465960325840882,0.54903800793136,-45.096199206864,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0465960325840882,45.096199206864,"int","green","int_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_red_5x5.mnt",0.3064243858,0.103325853184088,0.203098532615912,2.96561195825856,196.561195825856,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.203098532615912,196.561195825856,"int","red","int_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_white_5x5.mnt",0.04851001546,0.103325853184088,-0.0548158377240882,0.469485747904479,-53.0514252095521,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,0.0100217820749051,0.00224093859751766,0.0548158377240882,53.0514252095521,"int","white","int_white"
