"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_blue_5x5.mnt",1.033428617,3.24491081832924,-2.21148220132924,0.318476739379881,-68.1523260620119,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.21148220132924,68.1523260620119,"conf","blue","conf_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_green_5x5.mnt",1.054007234,3.24491081832924,-2.19090358432924,0.324818552191426,-67.5181447808574,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.19090358432924,67.5181447808574,"conf","green","conf_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_red_5x5.mnt",1.107809035,3.24491081832924,-2.13710178332924,0.341398915724407,-65.8601084275594,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.13710178332924,65.8601084275594,"conf","red","conf_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_blue_5x5.mnt",1.08363355,3.24491081832924,-2.16127726832924,0.333948638550858,-66.6051361449142,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.16127726832924,66.6051361449142,"fusion","blue","fusion_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_green_5x5.mnt",1.117535335,3.24491081832924,-2.12737548332924,0.344396317053608,-65.5603682946392,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.12737548332924,65.5603682946392,"fusion","green","fusion_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_red_5x5.mnt",1.177092877,3.24491081832924,-2.06781794132924,0.362750455374939,-63.7249544625061,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.06781794132924,63.7249544625061,"fusion","red","fusion_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_blue_5x5.mnt",1.227890023,3.24491081832924,-2.01702079532924,0.378404859715751,-62.1595140284249,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.01702079532924,62.1595140284249,"FV","blue","FV_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_green_5x5.mnt",1.018049791,3.24491081832924,-2.22686102732924,0.313737371532503,-68.6262628467497,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.22686102732924,68.6262628467497,"FV","green","FV_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_red_5x5.mnt",1.014205495,3.24491081832924,-2.23070532332924,0.312552656076446,-68.7447343923554,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.23070532332924,68.7447343923554,"FV","red","FV_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_blue_5x5.mnt",1.119139688,3.24491081832924,-2.12577113032924,0.344890738345847,-65.5109261654153,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.12577113032924,65.5109261654153,"int","blue","int_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_green_5x5.mnt",0.9369124107,3.24491081832924,-2.30799840762924,0.288732869146278,-71.1267130853722,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.30799840762924,71.1267130853722,"int","green","int_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_red_5x5.mnt",0.9793555052,3.24491081832924,-2.26555531312924,0.30181276467384,-69.818723532616,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.26555531312924,69.818723532616,"int","red","int_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_white_5x5.mnt",0.9363047684,3.24491081832924,-2.30860604992924,0.288545609053777,-71.1454390946223,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.00592233033420278,0.00132427332124865,2.30860604992924,71.1454390946223,"int","white","int_white"
