"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.634181281154454,2.2922176344525,1.54718991709763,2.59195776737263,4.42737159950578,5.99281203358696,0.473936784737845,0.592408330343517,2.64139989659658,2.97438702336032,1.66639747060418,2.99311303261049
"conf_green",0.634181281154454,0,1.65803635329804,0.913008635943171,1.95777648621818,3.79319031835133,5.3586307524325,1.1081180658923,1.22658961149797,2.00721861544213,3.60856830451478,2.30057875175864,3.62729431376495
"conf_red",2.2922176344525,1.65803635329804,0,0.745027717354873,0.299740132920135,2.13515396505328,3.70059439913446,2.76615441919034,2.88462596479602,0.349182262144083,5.26660465781282,3.95861510505668,5.28533066706299
"fusion_blue",1.54718991709763,0.913008635943171,0.745027717354873,0,1.04476785027501,2.88018168240816,4.44562211648933,2.02112670183547,2.13959824744114,1.09420997949896,4.52157694045795,3.21358738770181,4.54030294970812
"fusion_green",2.59195776737263,1.95777648621818,0.299740132920135,1.04476785027501,0,1.83541383213315,3.40085426621432,3.06589455211048,3.18436609771615,0.049442129223948,5.56634479073296,4.25835523797682,5.58507079998313
"fusion_red",4.42737159950578,3.79319031835133,2.13515396505328,2.88018168240816,1.83541383213315,0,1.56544043408118,4.90130838424363,5.0197799298493,1.7859717029092,7.4017586228661,6.09376907010996,7.42048463211628
"FV_blue",5.99281203358696,5.3586307524325,3.70059439913446,4.44562211648933,3.40085426621432,1.56544043408118,0,6.4667488183248,6.58522036393047,3.35141213699038,8.96719905694728,7.65920950419114,8.98592506619745
"FV_green",0.473936784737845,1.1081180658923,2.76615441919034,2.02112670183547,3.06589455211048,4.90130838424363,6.4667488183248,0,0.118471545605672,3.11533668133443,2.50045023862248,1.19246068586634,2.51917624787265
"FV_red",0.592408330343517,1.22658961149797,2.88462596479602,2.13959824744114,3.18436609771615,5.0197799298493,6.58522036393047,0.118471545605672,0,3.2338082269401,2.3819786930168,1.07398914026066,2.40070470226698
"int_blue",2.64139989659658,2.00721861544213,0.349182262144083,1.09420997949896,0.049442129223948,1.7859717029092,3.35141213699038,3.11533668133443,3.2338082269401,0,5.6157869199569,4.30779736720076,5.63451292920708
"int_green",2.97438702336032,3.60856830451478,5.26660465781282,4.52157694045795,5.56634479073296,7.4017586228661,8.96719905694728,2.50045023862248,2.3819786930168,5.6157869199569,0,1.30798955275614,0.0187260092501731
"int_red",1.66639747060418,2.30057875175864,3.95861510505668,3.21358738770181,4.25835523797682,6.09376907010996,7.65920950419114,1.19246068586634,1.07398914026066,4.30779736720076,1.30798955275614,0,1.32671556200631
"int_white",2.99311303261049,3.62729431376495,5.28533066706299,4.54030294970812,5.58507079998313,7.42048463211628,8.98592506619745,2.51917624787265,2.40070470226698,5.63451292920708,0.0187260092501731,1.32671556200631,0
