"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_conf_green_5x5.mnt",0.9876077285,2.65523107002897,-1.66762334152897,0.371947940669896,-62.8052059330104,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.66762334152897,62.8052059330104,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_conf_red_5x5.mnt",1.061809128,2.65523107002897,-1.59342194202897,0.399893304950072,-60.0106695049928,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.59342194202897,60.0106695049928,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_fusion_blue_5x5.mnt",1.004096498,2.65523107002897,-1.65113457202897,0.37815785953011,-62.184214046989,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.65113457202897,62.184214046989,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_fusion_green_5x5.mnt",1.104544021,2.65523107002897,-1.55068704902897,0.415987909100487,-58.4012090899513,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.55068704902897,58.4012090899513,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_fusion_red_5x5.mnt",1.193826747,2.65523107002897,-1.46140432302897,0.449613128015625,-55.0386871984375,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.46140432302897,55.0386871984375,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_FV_blue_5x5.mnt",0.9197346461,2.65523107002897,-1.73549642392897,0.346385915893175,-65.3614084106825,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.73549642392897,65.3614084106825,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_FV_green_5x5.mnt",0.8582231549,2.65523107002897,-1.79700791512897,0.323219762146967,-67.6780237853033,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.79700791512897,67.6780237853033,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_FV_red_5x5.mnt",0.9219130631,2.65523107002897,-1.73331800692897,0.347206340535154,-65.2793659464846,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.73331800692897,65.2793659464846,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_blue_5x5.mnt",0.9927325453,2.65523107002897,-1.66249852472897,0.373878023839623,-62.6121976160377,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.66249852472897,62.6121976160377,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_green_5x5.mnt",0.8854650616,2.65523107002897,-1.76976600842897,0.3334794743835,-66.65205256165,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.76976600842897,66.65205256165,"int","green","int_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_red_5x5.mnt",0.8839150039,2.65523107002897,-1.77131606612897,0.332895699314921,-66.7104300685079,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.77131606612897,66.7104300685079,"int","red","int_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_white_5x5.mnt",0.8833676549,2.65523107002897,-1.77186341512897,0.332689559440249,-66.7310440559751,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,1.77186341512897,66.7310440559751,"int","white","int_white"
NA,NA,2.65523107002897,NA,NA,NA,"C45_TF.xlsx","C45_TF.xlsx",20,0.111636862902052,0.0249627614243812,NA,NA,"other","unknown","other_unknown"
