"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,30.6622625388957,43.2636022180181,59.8576386532336,72.4762616949606,83.7759243110349,41.2596078795776,52.2256024528854,21.8254888503412,36.8105623388561,46.0837059503013,45.9422099350195,45.9623803974296
"conf_green",30.6622625388957,0,12.6013396791223,29.1953761143379,41.8139991560649,53.1136617721392,71.9218704184733,82.8878649917811,52.4877513892369,67.4728248777518,76.745968489197,76.6044724739153,76.6246429363253
"conf_red",43.2636022180181,12.6013396791223,0,16.5940364352156,29.2126594769426,40.5123220930169,84.5232100975957,95.4892046709034,65.0890910683592,80.0741645568741,89.3473081683193,89.2058121530376,89.2259826154476
"fusion_blue",59.8576386532336,29.1953761143379,16.5940364352156,0,12.618623041727,23.9182856578013,101.117246532811,112.083241106119,81.6831275035748,96.6682009920897,105.941344603535,105.799848588253,105.820019050663
"fusion_green",72.4762616949606,41.8139991560649,29.2126594769426,12.618623041727,0,11.2996626160743,113.735869574538,124.701864147846,94.3017505453018,109.286824033817,118.559967645262,118.41847162998,118.43864209239
"fusion_red",83.7759243110349,53.1136617721392,40.5123220930169,23.9182856578013,11.2996626160743,0,125.035532190613,136.00152676392,105.601413161376,120.586486649891,129.859630261336,129.718134246054,129.738304708464
"FV_blue",41.2596078795776,71.9218704184733,84.5232100975957,101.117246532811,113.735869574538,125.035532190613,0,10.9659945733078,19.4341190292364,4.44904554072154,4.82409807072368,4.68260205544194,4.70277251785197
"FV_green",52.2256024528854,82.8878649917811,95.4892046709034,112.083241106119,124.701864147846,136.00152676392,10.9659945733078,0,30.4001136025442,15.4150401140293,6.14189650258409,6.28339251786583,6.2632220554558
"FV_red",21.8254888503412,52.4877513892369,65.0890910683592,81.6831275035748,94.3017505453018,105.601413161376,19.4341190292364,30.4001136025442,0,14.9850734885149,24.2582170999601,24.1167210846784,24.1368915470884
"int_blue",36.8105623388561,67.4728248777518,80.0741645568741,96.6682009920897,109.286824033817,120.586486649891,4.44904554072154,15.4150401140293,14.9850734885149,0,9.27314361144521,9.13164759616348,9.15181805857351
"int_green",46.0837059503013,76.745968489197,89.3473081683193,105.941344603535,118.559967645262,129.859630261336,4.82409807072368,6.14189650258409,24.2582170999601,9.27314361144521,0,0.141496015281735,0.121325552871703
"int_red",45.9422099350195,76.6044724739153,89.2058121530376,105.799848588253,118.41847162998,129.718134246054,4.68260205544194,6.28339251786583,24.1167210846784,9.13164759616348,0.141496015281735,0,0.0201704624100323
"int_white",45.9623803974296,76.6246429363253,89.2259826154476,105.820019050663,118.43864209239,129.738304708464,4.70277251785197,6.2632220554558,24.1368915470884,9.15181805857351,0.121325552871703,0.0201704624100323,0
