"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_blue_5x5.mnt",2.563039376,0.754740867378913,1.80829850862109,3.39591969479671,239.591969479671,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.80829850862109,239.591969479671,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_green_5x5.mnt",2.623907229,0.754740867378913,1.86916636162109,3.4765670475913,247.656704759129,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.86916636162109,247.656704759129,"conf","green","conf_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_conf_red_5x5.mnt",2.666145749,0.754740867378913,1.91140488162109,3.53253131536268,253.253131536268,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.91140488162109,253.253131536268,"conf","red","conf_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_blue_5x5.mnt",2.535608548,0.754740867378913,1.78086768062109,3.35957499798009,235.957499798009,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.78086768062109,235.957499798009,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_green_5x5.mnt",2.651965977,0.754740867378913,1.89722510962109,3.51374371207674,251.374371207674,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.89722510962109,251.374371207674,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_fusion_red_5x5.mnt",2.688798923,0.754740867378913,1.93405805562109,3.56254582097527,256.254582097528,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.93405805562109,256.254582097528,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_blue_5x5.mnt",2.446174388,0.754740867378913,1.69143352062109,3.24107848630902,224.107848630902,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.69143352062109,224.107848630902,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_green_5x5.mnt",2.363994589,0.754740867378913,1.60925372162109,3.13219369875882,213.219369875882,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.60925372162109,213.219369875882,"FV","green","FV_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_FV_red_5x5.mnt",2.357796569,0.754740867378913,1.60305570162109,3.12398158216638,212.398158216638,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.60305570162109,212.398158216638,"FV","red","FV_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_blue_5x5.mnt",1.381164538,0.754740867378913,0.626423670621087,1.82998509514471,82.9985095144709,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,0.626423670621087,82.9985095144709,"int","blue","int_blue"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_green_5x5.mnt",2.169473642,0.754740867378913,1.41473277462109,2.87446160101839,187.446160101839,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.41473277462109,187.446160101839,"int","green","int_green"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_red_5x5.mnt",2.554350595,0.754740867378913,1.79960972762109,3.38440742432675,238.440742432675,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.79960972762109,238.440742432675,"int","red","int_red"
"P3_ELLOR\ELLOR_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GRI_x10_int_white_5x5.mnt",2.564294632,0.754740867378913,1.80955376462109,3.39758285635885,239.758285635885,"ELLOR_GRI.xlsx","ELLOR_GRI.xlsx",20,0.0475250882617271,0.0106269327989899,1.80955376462109,239.758285635885,"int","white","int_white"
